Round: 1, Train time: 13.9840s, Encrypt+Serialize time: 0.6477s, Decrypt+Deserialize time: 0.1453s
Round: 2, Train time: 19.5360s, Encrypt+Serialize time: 0.5473s, Decrypt+Deserialize time: 0.1398s
Round: 3, Train time: 26.9458s, Encrypt+Serialize time: 0.5948s, Decrypt+Deserialize time: 0.1497s
Round: 4, Train time: 28.9455s, Encrypt+Serialize time: 0.6359s, Decrypt+Deserialize time: 0.1329s
Round: 5, Train time: 20.4073s, Encrypt+Serialize time: 0.6314s, Decrypt+Deserialize time: 0.1474s
Round: 6, Train time: 21.6608s, Encrypt+Serialize time: 0.6148s, Decrypt+Deserialize time: 0.1588s
Round: 7, Train time: 26.8480s, Encrypt+Serialize time: 0.6308s, Decrypt+Deserialize time: 0.1609s
Round: 8, Train time: 24.3040s, Encrypt+Serialize time: 0.5672s, Decrypt+Deserialize time: 0.1446s
Round: 9, Train time: 33.7250s, Encrypt+Serialize time: 0.6630s, Decrypt+Deserialize time: 0.1749s
Round: 10, Train time: 35.3827s, Encrypt+Serialize time: 0.6762s, Decrypt+Deserialize time: 0.1659s
Round: 11, Train time: 25.1512s, Encrypt+Serialize time: 0.8306s, Decrypt+Deserialize time: 0.2131s
Round: 12, Train time: 13.8899s, Encrypt+Serialize time: 0.5472s, Decrypt+Deserialize time: 0.1442s
Round: 13, Train time: 16.5998s, Encrypt+Serialize time: 0.6371s, Decrypt+Deserialize time: 0.1417s
Round: 14, Train time: 37.9728s, Encrypt+Serialize time: 0.7096s, Decrypt+Deserialize time: 0.1769s
Round: 15, Train time: 39.0837s, Encrypt+Serialize time: 0.7957s, Decrypt+Deserialize time: 0.1940s
Round: 16, Train time: 14.8092s, Encrypt+Serialize time: 0.6131s, Decrypt+Deserialize time: 0.1441s
Round: 17, Train time: 26.3821s, Encrypt+Serialize time: 0.6014s, Decrypt+Deserialize time: 0.1404s
Round: 18, Train time: 22.0457s, Encrypt+Serialize time: 0.5461s, Decrypt+Deserialize time: 0.1352s
Round: 19, Train time: 28.9087s, Encrypt+Serialize time: 0.6285s, Decrypt+Deserialize time: 0.1723s
Round: 20, Train time: 25.1865s, Encrypt+Serialize time: 0.6348s, Decrypt+Deserialize time: 0.1702s
Round: 21, Train time: 26.5534s, Encrypt+Serialize time: 0.6149s, Decrypt+Deserialize time: 0.1458s
Round: 22, Train time: 31.7185s, Encrypt+Serialize time: 0.6843s, Decrypt+Deserialize time: 0.1548s
Round: 23, Train time: 28.1779s, Encrypt+Serialize time: 0.5993s, Decrypt+Deserialize time: 0.1396s
Round: 24, Train time: 22.9247s, Encrypt+Serialize time: 0.6182s, Decrypt+Deserialize time: 0.1629s
Round: 25, Train time: 22.3337s, Encrypt+Serialize time: 0.6241s, Decrypt+Deserialize time: 0.1631s
Round: 26, Train time: 34.6637s, Encrypt+Serialize time: 0.7020s, Decrypt+Deserialize time: 0.1905s
Round: 27, Train time: 20.9053s, Encrypt+Serialize time: 0.5910s, Decrypt+Deserialize time: 0.1414s
Round: 28, Train time: 38.0915s, Encrypt+Serialize time: 0.6923s, Decrypt+Deserialize time: 0.1725s
Round: 29, Train time: 37.2547s, Encrypt+Serialize time: 0.6607s, Decrypt+Deserialize time: 0.2004s
Round: 30, Train time: 20.3756s, Encrypt+Serialize time: 0.5841s, Decrypt+Deserialize time: 0.1973s
Round: 31, Train time: 29.7743s, Encrypt+Serialize time: 0.6323s, Decrypt+Deserialize time: 0.1665s
Round: 32, Train time: 18.1683s, Encrypt+Serialize time: 0.6182s, Decrypt+Deserialize time: 0.1783s
Round: 33, Train time: 30.9452s, Encrypt+Serialize time: 0.7350s, Decrypt+Deserialize time: 0.1974s
Round: 34, Train time: 27.7861s, Encrypt+Serialize time: 0.6504s, Decrypt+Deserialize time: 0.1410s
Round: 35, Train time: 22.0489s, Encrypt+Serialize time: 0.6508s, Decrypt+Deserialize time: 0.1596s
