Round: 1, Train time: 17.6064s, Encrypt+Serialize time: 0.6237s, Decrypt+Deserialize time: 0.1510s
Round: 2, Train time: 25.5873s, Encrypt+Serialize time: 0.5310s, Decrypt+Deserialize time: 0.1373s
Round: 3, Train time: 33.0037s, Encrypt+Serialize time: 0.5819s, Decrypt+Deserialize time: 0.1368s
Round: 4, Train time: 40.2725s, Encrypt+Serialize time: 0.5699s, Decrypt+Deserialize time: 0.1401s
Round: 5, Train time: 27.2296s, Encrypt+Serialize time: 0.6140s, Decrypt+Deserialize time: 0.1392s
Round: 6, Train time: 30.3325s, Encrypt+Serialize time: 0.6383s, Decrypt+Deserialize time: 0.1520s
Round: 7, Train time: 29.3809s, Encrypt+Serialize time: 0.6048s, Decrypt+Deserialize time: 0.1392s
Round: 8, Train time: 35.6184s, Encrypt+Serialize time: 0.6629s, Decrypt+Deserialize time: 0.1868s
Round: 9, Train time: 44.2625s, Encrypt+Serialize time: 0.6297s, Decrypt+Deserialize time: 0.1497s
Round: 10, Train time: 25.2951s, Encrypt+Serialize time: 0.5867s, Decrypt+Deserialize time: 0.1350s
Round: 11, Train time: 44.2981s, Encrypt+Serialize time: 0.5491s, Decrypt+Deserialize time: 0.1674s
Round: 12, Train time: 43.0909s, Encrypt+Serialize time: 0.8553s, Decrypt+Deserialize time: 0.1708s
Round: 13, Train time: 46.5392s, Encrypt+Serialize time: 0.6678s, Decrypt+Deserialize time: 0.1776s
Round: 14, Train time: 30.0800s, Encrypt+Serialize time: 0.5535s, Decrypt+Deserialize time: 0.1440s
Round: 15, Train time: 49.2949s, Encrypt+Serialize time: 0.5842s, Decrypt+Deserialize time: 0.1670s
Round: 16, Train time: 31.2236s, Encrypt+Serialize time: 0.5694s, Decrypt+Deserialize time: 0.1511s
Round: 17, Train time: 25.3976s, Encrypt+Serialize time: 0.5858s, Decrypt+Deserialize time: 0.1509s
Round: 18, Train time: 38.9722s, Encrypt+Serialize time: 0.6661s, Decrypt+Deserialize time: 0.1651s
Round: 19, Train time: 35.0093s, Encrypt+Serialize time: 0.7382s, Decrypt+Deserialize time: 0.1962s
Round: 20, Train time: 41.6795s, Encrypt+Serialize time: 0.5864s, Decrypt+Deserialize time: 0.1533s
Round: 21, Train time: 40.3972s, Encrypt+Serialize time: 0.6328s, Decrypt+Deserialize time: 0.1560s
Round: 22, Train time: 29.9260s, Encrypt+Serialize time: 0.6286s, Decrypt+Deserialize time: 0.1487s
Round: 23, Train time: 41.4752s, Encrypt+Serialize time: 0.6165s, Decrypt+Deserialize time: 0.1379s
Round: 24, Train time: 27.0931s, Encrypt+Serialize time: 0.5705s, Decrypt+Deserialize time: 0.1643s
Round: 25, Train time: 47.1984s, Encrypt+Serialize time: 0.7053s, Decrypt+Deserialize time: 0.1510s
Round: 26, Train time: 43.4241s, Encrypt+Serialize time: 0.7151s, Decrypt+Deserialize time: 0.2028s
Round: 27, Train time: 37.1330s, Encrypt+Serialize time: 0.6391s, Decrypt+Deserialize time: 0.1741s
Round: 28, Train time: 24.3884s, Encrypt+Serialize time: 0.6136s, Decrypt+Deserialize time: 0.1632s
Round: 29, Train time: 49.8477s, Encrypt+Serialize time: 0.6633s, Decrypt+Deserialize time: 0.1807s
Round: 30, Train time: 38.5623s, Encrypt+Serialize time: 0.5911s, Decrypt+Deserialize time: 0.1532s
Round: 31, Train time: 32.0314s, Encrypt+Serialize time: 0.5481s, Decrypt+Deserialize time: 0.1435s
Round: 32, Train time: 16.9315s, Encrypt+Serialize time: 0.5477s, Decrypt+Deserialize time: 0.1323s
Round: 33, Train time: 32.6890s, Encrypt+Serialize time: 0.5486s, Decrypt+Deserialize time: 0.1430s
Round: 34, Train time: 41.5938s, Encrypt+Serialize time: 0.5387s, Decrypt+Deserialize time: 0.1353s
Round: 35, Train time: 20.0677s, Encrypt+Serialize time: 0.5380s, Decrypt+Deserialize time: 0.2037s
Round: 36, Train time: 21.7746s, Encrypt+Serialize time: 0.5898s, Decrypt+Deserialize time: 0.1322s
Round: 37, Train time: 21.5525s, Encrypt+Serialize time: 0.5860s, Decrypt+Deserialize time: 0.1360s
Round: 38, Train time: 34.7352s, Encrypt+Serialize time: 0.5615s, Decrypt+Deserialize time: 0.1369s
Round: 39, Train time: 40.5230s, Encrypt+Serialize time: 0.5409s, Decrypt+Deserialize time: 0.1362s
Round: 40, Train time: 41.8004s, Encrypt+Serialize time: 0.5506s, Decrypt+Deserialize time: 0.1454s
Round: 41, Train time: 17.7308s, Encrypt+Serialize time: 0.5322s, Decrypt+Deserialize time: 0.1311s
Round: 42, Train time: 21.2764s, Encrypt+Serialize time: 0.5381s, Decrypt+Deserialize time: 0.1324s
Round: 43, Train time: 25.5957s, Encrypt+Serialize time: 0.5567s, Decrypt+Deserialize time: 0.1973s
Round: 44, Train time: 37.9278s, Encrypt+Serialize time: 0.5421s, Decrypt+Deserialize time: 0.1379s
Round: 45, Train time: 35.5027s, Encrypt+Serialize time: 0.6095s, Decrypt+Deserialize time: 0.1643s
Round: 46, Train time: 26.6027s, Encrypt+Serialize time: 0.6336s, Decrypt+Deserialize time: 0.1554s
Round: 47, Train time: 21.8560s, Encrypt+Serialize time: 0.5779s, Decrypt+Deserialize time: 0.1452s
Round: 48, Train time: 33.8970s, Encrypt+Serialize time: 0.6376s, Decrypt+Deserialize time: 0.1610s
Round: 49, Train time: 44.4831s, Encrypt+Serialize time: 0.6946s, Decrypt+Deserialize time: 0.1657s
Round: 50, Train time: 46.9365s, Encrypt+Serialize time: 0.6452s, Decrypt+Deserialize time: 0.1618s
Round: 51, Train time: 31.6577s, Encrypt+Serialize time: 0.5919s, Decrypt+Deserialize time: 0.1434s
Round: 52, Train time: 36.9544s, Encrypt+Serialize time: 0.6200s, Decrypt+Deserialize time: 0.1508s
Round: 53, Train time: 28.7665s, Encrypt+Serialize time: 0.6254s, Decrypt+Deserialize time: 0.1565s
Round: 54, Train time: 37.6653s, Encrypt+Serialize time: 0.7617s, Decrypt+Deserialize time: 0.1737s
Round: 55, Train time: 34.9825s, Encrypt+Serialize time: 0.6967s, Decrypt+Deserialize time: 0.1612s
Round: 56, Train time: 31.5972s, Encrypt+Serialize time: 0.6348s, Decrypt+Deserialize time: 0.1482s
Round: 57, Train time: 44.3797s, Encrypt+Serialize time: 0.5913s, Decrypt+Deserialize time: 0.1597s
Round: 58, Train time: 48.4305s, Encrypt+Serialize time: 0.7622s, Decrypt+Deserialize time: 0.1714s
Round: 59, Train time: 33.7608s, Encrypt+Serialize time: 0.6696s, Decrypt+Deserialize time: 0.1676s
Round: 60, Train time: 38.1526s, Encrypt+Serialize time: 0.6109s, Decrypt+Deserialize time: 0.1412s
Round: 61, Train time: 40.3728s, Encrypt+Serialize time: 0.5475s, Decrypt+Deserialize time: 0.1404s
Round: 62, Train time: 42.1346s, Encrypt+Serialize time: 0.5851s, Decrypt+Deserialize time: 0.1538s
Round: 63, Train time: 34.6669s, Encrypt+Serialize time: 0.6704s, Decrypt+Deserialize time: 0.1704s
Round: 64, Train time: 38.9158s, Encrypt+Serialize time: 0.7590s, Decrypt+Deserialize time: 0.1813s
Round: 65, Train time: 36.3464s, Encrypt+Serialize time: 0.5870s, Decrypt+Deserialize time: 0.1472s
Round: 66, Train time: 27.0230s, Encrypt+Serialize time: 0.5448s, Decrypt+Deserialize time: 0.1473s
Round: 67, Train time: 40.6015s, Encrypt+Serialize time: 0.5946s, Decrypt+Deserialize time: 0.1592s
Round: 68, Train time: 31.2638s, Encrypt+Serialize time: 0.7033s, Decrypt+Deserialize time: 0.1694s
Round: 69, Train time: 29.5926s, Encrypt+Serialize time: 0.6210s, Decrypt+Deserialize time: 0.1432s
Round: 70, Train time: 38.4726s, Encrypt+Serialize time: 0.5937s, Decrypt+Deserialize time: 0.1420s
Round: 71, Train time: 34.4241s, Encrypt+Serialize time: 0.6129s, Decrypt+Deserialize time: 0.1540s
Round: 72, Train time: 39.9522s, Encrypt+Serialize time: 0.6740s, Decrypt+Deserialize time: 0.1705s
Round: 73, Train time: 41.1024s, Encrypt+Serialize time: 0.6463s, Decrypt+Deserialize time: 0.1501s
Round: 74, Train time: 41.1941s, Encrypt+Serialize time: 0.5557s, Decrypt+Deserialize time: 0.1366s
Round: 75, Train time: 35.9074s, Encrypt+Serialize time: 0.5947s, Decrypt+Deserialize time: 0.1514s
Round: 76, Train time: 37.1476s, Encrypt+Serialize time: 0.7843s, Decrypt+Deserialize time: 0.2360s
Round: 77, Train time: 33.4276s, Encrypt+Serialize time: 0.5498s, Decrypt+Deserialize time: 0.1373s
Round: 78, Train time: 36.9780s, Encrypt+Serialize time: 0.6242s, Decrypt+Deserialize time: 0.1676s
Round: 79, Train time: 28.3548s, Encrypt+Serialize time: 0.6361s, Decrypt+Deserialize time: 0.1519s
Round: 80, Train time: 37.6640s, Encrypt+Serialize time: 0.5760s, Decrypt+Deserialize time: 0.1378s
Round: 81, Train time: 32.2120s, Encrypt+Serialize time: 0.5859s, Decrypt+Deserialize time: 0.1489s
