Round: 1, Train time: 12.4771s, Encrypt+Serialize time: 0.5589s, Decrypt+Deserialize time: 0.1335s
Round: 2, Train time: 11.4827s, Encrypt+Serialize time: 0.5562s, Decrypt+Deserialize time: 0.1350s
Round: 3, Train time: 19.5819s, Encrypt+Serialize time: 0.5767s, Decrypt+Deserialize time: 0.1486s
Round: 4, Train time: 25.0850s, Encrypt+Serialize time: 0.6753s, Decrypt+Deserialize time: 0.1477s
Round: 5, Train time: 14.9236s, Encrypt+Serialize time: 0.5325s, Decrypt+Deserialize time: 0.1524s
Round: 6, Train time: 15.0916s, Encrypt+Serialize time: 0.6593s, Decrypt+Deserialize time: 0.1591s
Round: 7, Train time: 20.4993s, Encrypt+Serialize time: 0.6229s, Decrypt+Deserialize time: 0.1550s
Round: 8, Train time: 20.1094s, Encrypt+Serialize time: 0.6064s, Decrypt+Deserialize time: 0.1580s
Round: 9, Train time: 18.8263s, Encrypt+Serialize time: 0.5757s, Decrypt+Deserialize time: 0.1430s
Round: 10, Train time: 24.1749s, Encrypt+Serialize time: 0.6897s, Decrypt+Deserialize time: 0.1829s
Round: 11, Train time: 19.1772s, Encrypt+Serialize time: 0.5686s, Decrypt+Deserialize time: 0.1367s
Round: 12, Train time: 26.6929s, Encrypt+Serialize time: 0.5796s, Decrypt+Deserialize time: 0.1457s
Round: 13, Train time: 25.6234s, Encrypt+Serialize time: 0.7619s, Decrypt+Deserialize time: 0.1795s
Round: 14, Train time: 11.6546s, Encrypt+Serialize time: 0.6587s, Decrypt+Deserialize time: 0.1627s
Round: 15, Train time: 22.7358s, Encrypt+Serialize time: 0.6560s, Decrypt+Deserialize time: 0.1545s
Round: 16, Train time: 29.1275s, Encrypt+Serialize time: 0.7256s, Decrypt+Deserialize time: 0.1667s
Round: 17, Train time: 12.6428s, Encrypt+Serialize time: 0.6097s, Decrypt+Deserialize time: 0.1346s
Round: 18, Train time: 29.6987s, Encrypt+Serialize time: 0.7457s, Decrypt+Deserialize time: 0.2306s
Round: 19, Train time: 18.9127s, Encrypt+Serialize time: 0.6436s, Decrypt+Deserialize time: 0.1432s
Round: 20, Train time: 12.9038s, Encrypt+Serialize time: 0.5611s, Decrypt+Deserialize time: 0.1340s
