Round: 1, Train time: 31.3272s, Encrypt+Serialize time: 0.6057s, Decrypt+Deserialize time: 0.1651s
Round: 2, Train time: 35.5956s, Encrypt+Serialize time: 0.6507s, Decrypt+Deserialize time: 0.1595s
Round: 3, Train time: 18.1164s, Encrypt+Serialize time: 0.5967s, Decrypt+Deserialize time: 0.1351s
Round: 4, Train time: 25.7887s, Encrypt+Serialize time: 0.6028s, Decrypt+Deserialize time: 0.1588s
Round: 5, Train time: 30.6841s, Encrypt+Serialize time: 0.5996s, Decrypt+Deserialize time: 0.1446s
Round: 6, Train time: 32.2491s, Encrypt+Serialize time: 0.7500s, Decrypt+Deserialize time: 0.1753s
Round: 7, Train time: 26.9980s, Encrypt+Serialize time: 0.5840s, Decrypt+Deserialize time: 0.1352s
Round: 8, Train time: 31.3253s, Encrypt+Serialize time: 0.5403s, Decrypt+Deserialize time: 0.1382s
Round: 9, Train time: 33.8911s, Encrypt+Serialize time: 0.5745s, Decrypt+Deserialize time: 0.1604s
Round: 10, Train time: 24.0093s, Encrypt+Serialize time: 0.6307s, Decrypt+Deserialize time: 0.1773s
Round: 11, Train time: 42.3027s, Encrypt+Serialize time: 0.5885s, Decrypt+Deserialize time: 0.1631s
Round: 12, Train time: 33.1369s, Encrypt+Serialize time: 0.7122s, Decrypt+Deserialize time: 0.1836s
Round: 13, Train time: 19.0166s, Encrypt+Serialize time: 0.5866s, Decrypt+Deserialize time: 0.1462s
Round: 14, Train time: 26.5855s, Encrypt+Serialize time: 0.6433s, Decrypt+Deserialize time: 0.1830s
Round: 15, Train time: 28.7671s, Encrypt+Serialize time: 0.6578s, Decrypt+Deserialize time: 0.1385s
Round: 16, Train time: 24.8900s, Encrypt+Serialize time: 0.6102s, Decrypt+Deserialize time: 0.1601s
Round: 17, Train time: 28.7840s, Encrypt+Serialize time: 0.6058s, Decrypt+Deserialize time: 0.1520s
Round: 18, Train time: 36.8628s, Encrypt+Serialize time: 0.6123s, Decrypt+Deserialize time: 0.1708s
Round: 19, Train time: 34.5629s, Encrypt+Serialize time: 0.5814s, Decrypt+Deserialize time: 0.1451s
Round: 20, Train time: 20.0785s, Encrypt+Serialize time: 0.6191s, Decrypt+Deserialize time: 0.1651s
Round: 21, Train time: 26.1904s, Encrypt+Serialize time: 0.5971s, Decrypt+Deserialize time: 0.1539s
