Round: 1, Train time: 29.7148s, Encrypt+Serialize time: 0.5502s, Decrypt+Deserialize time: 0.1461s
Round: 2, Train time: 38.9425s, Encrypt+Serialize time: 0.6590s, Decrypt+Deserialize time: 0.1723s
Round: 3, Train time: 22.4212s, Encrypt+Serialize time: 0.6160s, Decrypt+Deserialize time: 0.1463s
Round: 4, Train time: 23.4429s, Encrypt+Serialize time: 0.6229s, Decrypt+Deserialize time: 0.1447s
Round: 5, Train time: 23.7833s, Encrypt+Serialize time: 0.6296s, Decrypt+Deserialize time: 0.1669s
Round: 6, Train time: 33.0149s, Encrypt+Serialize time: 0.6168s, Decrypt+Deserialize time: 0.1521s
Round: 7, Train time: 40.1929s, Encrypt+Serialize time: 0.6242s, Decrypt+Deserialize time: 0.1605s
Round: 8, Train time: 24.7610s, Encrypt+Serialize time: 0.6851s, Decrypt+Deserialize time: 0.1696s
Round: 9, Train time: 26.6530s, Encrypt+Serialize time: 0.7066s, Decrypt+Deserialize time: 0.2303s
Round: 10, Train time: 27.2460s, Encrypt+Serialize time: 0.5831s, Decrypt+Deserialize time: 0.1530s
Round: 11, Train time: 45.6373s, Encrypt+Serialize time: 0.6869s, Decrypt+Deserialize time: 0.1786s
Round: 12, Train time: 45.5650s, Encrypt+Serialize time: 0.7024s, Decrypt+Deserialize time: 0.1748s
Round: 13, Train time: 16.9266s, Encrypt+Serialize time: 0.5582s, Decrypt+Deserialize time: 0.1581s
Round: 14, Train time: 31.7313s, Encrypt+Serialize time: 0.6341s, Decrypt+Deserialize time: 0.1406s
Round: 15, Train time: 30.7472s, Encrypt+Serialize time: 0.6668s, Decrypt+Deserialize time: 0.1417s
Round: 16, Train time: 37.3416s, Encrypt+Serialize time: 0.6572s, Decrypt+Deserialize time: 0.1523s
Round: 17, Train time: 32.4326s, Encrypt+Serialize time: 0.6280s, Decrypt+Deserialize time: 0.1700s
Round: 18, Train time: 38.2574s, Encrypt+Serialize time: 0.6998s, Decrypt+Deserialize time: 0.1768s
Round: 19, Train time: 36.8493s, Encrypt+Serialize time: 0.6037s, Decrypt+Deserialize time: 0.1689s
Round: 20, Train time: 26.6039s, Encrypt+Serialize time: 0.5736s, Decrypt+Deserialize time: 0.1541s
Round: 21, Train time: 30.8525s, Encrypt+Serialize time: 0.6106s, Decrypt+Deserialize time: 0.1453s
Round: 22, Train time: 43.0537s, Encrypt+Serialize time: 0.6156s, Decrypt+Deserialize time: 0.1353s
Round: 23, Train time: 43.7386s, Encrypt+Serialize time: 0.7042s, Decrypt+Deserialize time: 0.1832s
Round: 24, Train time: 26.5174s, Encrypt+Serialize time: 0.6441s, Decrypt+Deserialize time: 0.1389s
Round: 25, Train time: 23.8225s, Encrypt+Serialize time: 0.6021s, Decrypt+Deserialize time: 0.1508s
Round: 26, Train time: 45.7548s, Encrypt+Serialize time: 0.8453s, Decrypt+Deserialize time: 0.2401s
Round: 27, Train time: 29.1190s, Encrypt+Serialize time: 0.6617s, Decrypt+Deserialize time: 0.1674s
Round: 28, Train time: 37.8114s, Encrypt+Serialize time: 0.6000s, Decrypt+Deserialize time: 0.1600s
Round: 29, Train time: 27.2825s, Encrypt+Serialize time: 0.5436s, Decrypt+Deserialize time: 0.1341s
Round: 30, Train time: 16.6661s, Encrypt+Serialize time: 0.5362s, Decrypt+Deserialize time: 0.1390s
Round: 31, Train time: 41.8076s, Encrypt+Serialize time: 0.6077s, Decrypt+Deserialize time: 0.1642s
Round: 32, Train time: 32.4493s, Encrypt+Serialize time: 0.5659s, Decrypt+Deserialize time: 0.1353s
Round: 33, Train time: 18.3709s, Encrypt+Serialize time: 0.6616s, Decrypt+Deserialize time: 0.1964s
Round: 34, Train time: 29.5357s, Encrypt+Serialize time: 0.5956s, Decrypt+Deserialize time: 0.1716s
Round: 35, Train time: 21.2834s, Encrypt+Serialize time: 0.5447s, Decrypt+Deserialize time: 0.1377s
Round: 36, Train time: 29.7146s, Encrypt+Serialize time: 0.5664s, Decrypt+Deserialize time: 0.1453s
Round: 37, Train time: 27.5569s, Encrypt+Serialize time: 0.5672s, Decrypt+Deserialize time: 0.1316s
Round: 38, Train time: 24.7455s, Encrypt+Serialize time: 0.6619s, Decrypt+Deserialize time: 0.1323s
Round: 39, Train time: 33.5456s, Encrypt+Serialize time: 0.5851s, Decrypt+Deserialize time: 0.1481s
Round: 40, Train time: 35.0393s, Encrypt+Serialize time: 0.5583s, Decrypt+Deserialize time: 0.1599s
Round: 41, Train time: 33.5738s, Encrypt+Serialize time: 0.5665s, Decrypt+Deserialize time: 0.1442s
Round: 42, Train time: 30.6961s, Encrypt+Serialize time: 0.6351s, Decrypt+Deserialize time: 0.1500s
Round: 43, Train time: 32.0081s, Encrypt+Serialize time: 0.5728s, Decrypt+Deserialize time: 0.1398s
Round: 44, Train time: 30.6919s, Encrypt+Serialize time: 0.5993s, Decrypt+Deserialize time: 0.1365s
Round: 45, Train time: 37.8125s, Encrypt+Serialize time: 0.6781s, Decrypt+Deserialize time: 0.1670s
Round: 46, Train time: 37.7143s, Encrypt+Serialize time: 0.7103s, Decrypt+Deserialize time: 0.1976s
Round: 47, Train time: 33.6476s, Encrypt+Serialize time: 0.6285s, Decrypt+Deserialize time: 0.1704s
Round: 48, Train time: 33.8710s, Encrypt+Serialize time: 0.6094s, Decrypt+Deserialize time: 0.1601s
Round: 49, Train time: 27.1189s, Encrypt+Serialize time: 0.6213s, Decrypt+Deserialize time: 0.1398s
Round: 50, Train time: 28.6098s, Encrypt+Serialize time: 0.6649s, Decrypt+Deserialize time: 0.1511s
