Round: 1, Train time: 18.5854s, Encrypt+Serialize time: 0.5726s, Decrypt+Deserialize time: 0.1410s
Round: 2, Train time: 20.7964s, Encrypt+Serialize time: 0.5350s, Decrypt+Deserialize time: 0.1398s
Round: 3, Train time: 31.1517s, Encrypt+Serialize time: 0.6517s, Decrypt+Deserialize time: 0.1808s
Round: 4, Train time: 31.0946s, Encrypt+Serialize time: 0.6047s, Decrypt+Deserialize time: 0.1402s
Round: 5, Train time: 20.8862s, Encrypt+Serialize time: 0.5612s, Decrypt+Deserialize time: 0.1423s
Round: 6, Train time: 20.9180s, Encrypt+Serialize time: 0.6013s, Decrypt+Deserialize time: 0.1737s
Round: 7, Train time: 26.6324s, Encrypt+Serialize time: 0.5985s, Decrypt+Deserialize time: 0.1416s
Round: 8, Train time: 25.3796s, Encrypt+Serialize time: 0.6371s, Decrypt+Deserialize time: 0.1484s
Round: 9, Train time: 29.4996s, Encrypt+Serialize time: 0.6127s, Decrypt+Deserialize time: 0.1416s
Round: 10, Train time: 37.2571s, Encrypt+Serialize time: 0.6835s, Decrypt+Deserialize time: 0.1546s
Round: 11, Train time: 32.4767s, Encrypt+Serialize time: 0.6362s, Decrypt+Deserialize time: 0.1483s
Round: 12, Train time: 18.8209s, Encrypt+Serialize time: 0.5671s, Decrypt+Deserialize time: 0.1331s
Round: 13, Train time: 38.7468s, Encrypt+Serialize time: 0.7321s, Decrypt+Deserialize time: 0.1860s
Round: 14, Train time: 21.0529s, Encrypt+Serialize time: 0.5913s, Decrypt+Deserialize time: 0.1367s
Round: 15, Train time: 37.6803s, Encrypt+Serialize time: 0.7057s, Decrypt+Deserialize time: 0.1799s
Round: 16, Train time: 22.8450s, Encrypt+Serialize time: 0.5566s, Decrypt+Deserialize time: 0.1374s
Round: 17, Train time: 18.2574s, Encrypt+Serialize time: 0.6442s, Decrypt+Deserialize time: 0.1496s
Round: 18, Train time: 27.3548s, Encrypt+Serialize time: 0.6233s, Decrypt+Deserialize time: 0.1543s
Round: 19, Train time: 23.9814s, Encrypt+Serialize time: 0.6502s, Decrypt+Deserialize time: 0.1637s
Round: 20, Train time: 30.7562s, Encrypt+Serialize time: 0.5698s, Decrypt+Deserialize time: 0.1437s
Round: 21, Train time: 25.8996s, Encrypt+Serialize time: 0.6119s, Decrypt+Deserialize time: 0.1766s
Round: 22, Train time: 27.3048s, Encrypt+Serialize time: 0.5649s, Decrypt+Deserialize time: 0.1411s
Round: 23, Train time: 28.9765s, Encrypt+Serialize time: 0.6324s, Decrypt+Deserialize time: 0.1768s
Round: 24, Train time: 30.2633s, Encrypt+Serialize time: 0.6005s, Decrypt+Deserialize time: 0.1735s
Round: 25, Train time: 24.7153s, Encrypt+Serialize time: 0.6212s, Decrypt+Deserialize time: 0.1492s
Round: 26, Train time: 35.1018s, Encrypt+Serialize time: 0.7556s, Decrypt+Deserialize time: 0.2154s
Round: 27, Train time: 18.4113s, Encrypt+Serialize time: 0.6222s, Decrypt+Deserialize time: 0.1499s
Round: 28, Train time: 36.4043s, Encrypt+Serialize time: 0.6254s, Decrypt+Deserialize time: 0.1520s
Round: 29, Train time: 39.6629s, Encrypt+Serialize time: 0.6403s, Decrypt+Deserialize time: 0.1640s
Round: 30, Train time: 29.1542s, Encrypt+Serialize time: 0.6888s, Decrypt+Deserialize time: 0.1670s
Round: 31, Train time: 16.6120s, Encrypt+Serialize time: 0.5961s, Decrypt+Deserialize time: 0.1638s
Round: 32, Train time: 32.2111s, Encrypt+Serialize time: 0.7448s, Decrypt+Deserialize time: 0.1973s
Round: 33, Train time: 29.3197s, Encrypt+Serialize time: 0.6907s, Decrypt+Deserialize time: 0.1576s
Round: 34, Train time: 32.7880s, Encrypt+Serialize time: 0.6252s, Decrypt+Deserialize time: 0.1396s
Round: 35, Train time: 24.2781s, Encrypt+Serialize time: 0.5420s, Decrypt+Deserialize time: 0.1331s
Round: 36, Train time: 31.2142s, Encrypt+Serialize time: 0.6649s, Decrypt+Deserialize time: 0.1806s
Round: 37, Train time: 15.8238s, Encrypt+Serialize time: 0.5975s, Decrypt+Deserialize time: 0.1317s
Round: 38, Train time: 21.1135s, Encrypt+Serialize time: 0.5735s, Decrypt+Deserialize time: 0.1528s
Round: 39, Train time: 15.0887s, Encrypt+Serialize time: 0.6178s, Decrypt+Deserialize time: 0.1403s
Round: 40, Train time: 31.3352s, Encrypt+Serialize time: 0.6056s, Decrypt+Deserialize time: 0.1639s
Round: 41, Train time: 28.9528s, Encrypt+Serialize time: 0.6116s, Decrypt+Deserialize time: 0.1871s
Round: 42, Train time: 32.1139s, Encrypt+Serialize time: 0.5882s, Decrypt+Deserialize time: 0.1558s
Round: 43, Train time: 16.1871s, Encrypt+Serialize time: 0.6567s, Decrypt+Deserialize time: 0.1335s
Round: 44, Train time: 24.6313s, Encrypt+Serialize time: 0.5938s, Decrypt+Deserialize time: 0.1540s
Round: 45, Train time: 31.3621s, Encrypt+Serialize time: 0.5472s, Decrypt+Deserialize time: 0.1369s
Round: 46, Train time: 14.2992s, Encrypt+Serialize time: 0.5439s, Decrypt+Deserialize time: 0.1342s
Round: 47, Train time: 19.8462s, Encrypt+Serialize time: 0.5449s, Decrypt+Deserialize time: 0.1470s
Round: 48, Train time: 26.7897s, Encrypt+Serialize time: 0.5705s, Decrypt+Deserialize time: 0.1424s
Round: 49, Train time: 13.3868s, Encrypt+Serialize time: 0.6033s, Decrypt+Deserialize time: 0.1635s
Round: 50, Train time: 22.3585s, Encrypt+Serialize time: 0.5836s, Decrypt+Deserialize time: 0.1407s
Round: 51, Train time: 27.2015s, Encrypt+Serialize time: 0.5490s, Decrypt+Deserialize time: 0.1530s
Round: 52, Train time: 35.6704s, Encrypt+Serialize time: 0.6220s, Decrypt+Deserialize time: 0.1578s
Round: 53, Train time: 16.1025s, Encrypt+Serialize time: 0.5856s, Decrypt+Deserialize time: 0.1425s
Round: 54, Train time: 38.5038s, Encrypt+Serialize time: 0.6832s, Decrypt+Deserialize time: 0.1771s
Round: 55, Train time: 29.4290s, Encrypt+Serialize time: 0.6020s, Decrypt+Deserialize time: 0.1497s
Round: 56, Train time: 27.3639s, Encrypt+Serialize time: 0.6095s, Decrypt+Deserialize time: 0.1845s
Round: 57, Train time: 22.8356s, Encrypt+Serialize time: 0.6001s, Decrypt+Deserialize time: 0.1555s
Round: 58, Train time: 25.7200s, Encrypt+Serialize time: 0.6035s, Decrypt+Deserialize time: 0.1561s
Round: 59, Train time: 26.3143s, Encrypt+Serialize time: 0.6634s, Decrypt+Deserialize time: 0.1609s
Round: 60, Train time: 30.4667s, Encrypt+Serialize time: 0.6117s, Decrypt+Deserialize time: 0.1861s
Round: 61, Train time: 29.1708s, Encrypt+Serialize time: 0.7079s, Decrypt+Deserialize time: 0.1927s
Round: 62, Train time: 27.9227s, Encrypt+Serialize time: 0.6809s, Decrypt+Deserialize time: 0.1749s
Round: 63, Train time: 25.6546s, Encrypt+Serialize time: 0.7041s, Decrypt+Deserialize time: 0.1871s
Round: 64, Train time: 39.0385s, Encrypt+Serialize time: 0.7377s, Decrypt+Deserialize time: 0.1874s
Round: 65, Train time: 17.9919s, Encrypt+Serialize time: 0.6360s, Decrypt+Deserialize time: 0.1486s
Round: 66, Train time: 34.0125s, Encrypt+Serialize time: 0.6061s, Decrypt+Deserialize time: 0.1879s
Round: 67, Train time: 31.4441s, Encrypt+Serialize time: 0.7459s, Decrypt+Deserialize time: 0.1731s
Round: 68, Train time: 27.6775s, Encrypt+Serialize time: 0.6863s, Decrypt+Deserialize time: 0.1773s
Round: 69, Train time: 29.0988s, Encrypt+Serialize time: 0.6824s, Decrypt+Deserialize time: 0.1916s
Round: 70, Train time: 18.7369s, Encrypt+Serialize time: 0.5732s, Decrypt+Deserialize time: 0.1609s
Round: 71, Train time: 35.4149s, Encrypt+Serialize time: 0.6090s, Decrypt+Deserialize time: 0.1610s
Round: 72, Train time: 35.0947s, Encrypt+Serialize time: 0.6264s, Decrypt+Deserialize time: 0.1881s
Round: 73, Train time: 32.9826s, Encrypt+Serialize time: 0.6189s, Decrypt+Deserialize time: 0.1590s
Round: 74, Train time: 24.5919s, Encrypt+Serialize time: 0.6402s, Decrypt+Deserialize time: 0.1613s
Round: 75, Train time: 22.6875s, Encrypt+Serialize time: 0.6009s, Decrypt+Deserialize time: 0.1658s
Round: 76, Train time: 29.8053s, Encrypt+Serialize time: 0.6333s, Decrypt+Deserialize time: 0.1477s
Round: 77, Train time: 35.8604s, Encrypt+Serialize time: 0.6422s, Decrypt+Deserialize time: 0.1753s
Round: 78, Train time: 22.2001s, Encrypt+Serialize time: 0.5797s, Decrypt+Deserialize time: 0.1523s
Round: 79, Train time: 31.6433s, Encrypt+Serialize time: 0.6237s, Decrypt+Deserialize time: 0.1451s
Round: 80, Train time: 27.7491s, Encrypt+Serialize time: 0.7326s, Decrypt+Deserialize time: 0.1642s
Round: 81, Train time: 15.2578s, Encrypt+Serialize time: 0.5531s, Decrypt+Deserialize time: 0.1829s
Round: 82, Train time: 28.9928s, Encrypt+Serialize time: 0.7058s, Decrypt+Deserialize time: 0.1809s
Round: 83, Train time: 15.1986s, Encrypt+Serialize time: 0.5830s, Decrypt+Deserialize time: 0.1342s
Round: 84, Train time: 20.0533s, Encrypt+Serialize time: 0.6229s, Decrypt+Deserialize time: 0.1737s
Round: 85, Train time: 30.4461s, Encrypt+Serialize time: 0.5926s, Decrypt+Deserialize time: 0.1418s
Round: 86, Train time: 31.0607s, Encrypt+Serialize time: 0.6703s, Decrypt+Deserialize time: 0.1726s
Round: 87, Train time: 16.6518s, Encrypt+Serialize time: 0.5722s, Decrypt+Deserialize time: 0.1380s
Round: 88, Train time: 24.5251s, Encrypt+Serialize time: 0.5900s, Decrypt+Deserialize time: 0.1423s
Round: 89, Train time: 26.1552s, Encrypt+Serialize time: 0.6167s, Decrypt+Deserialize time: 0.1487s
Round: 90, Train time: 33.7664s, Encrypt+Serialize time: 0.5836s, Decrypt+Deserialize time: 0.1540s
Round: 91, Train time: 20.6369s, Encrypt+Serialize time: 0.5686s, Decrypt+Deserialize time: 0.1384s
Round: 92, Train time: 28.8982s, Encrypt+Serialize time: 0.5585s, Decrypt+Deserialize time: 0.1392s
Round: 93, Train time: 25.2054s, Encrypt+Serialize time: 0.7023s, Decrypt+Deserialize time: 0.1484s
Round: 94, Train time: 28.2056s, Encrypt+Serialize time: 0.5652s, Decrypt+Deserialize time: 0.1533s
Round: 95, Train time: 30.7969s, Encrypt+Serialize time: 0.5783s, Decrypt+Deserialize time: 0.1481s
Round: 96, Train time: 17.4441s, Encrypt+Serialize time: 0.6796s, Decrypt+Deserialize time: 0.2074s
Round: 97, Train time: 21.8923s, Encrypt+Serialize time: 0.5813s, Decrypt+Deserialize time: 0.1530s
Round: 98, Train time: 30.4123s, Encrypt+Serialize time: 0.7046s, Decrypt+Deserialize time: 0.1778s
Round: 99, Train time: 33.8800s, Encrypt+Serialize time: 0.5804s, Decrypt+Deserialize time: 0.1592s
