Round: 1, Train time: 18.7875s, Encrypt+Serialize time: 0.5437s, Decrypt+Deserialize time: 0.1656s
Round: 2, Train time: 28.7690s, Encrypt+Serialize time: 0.5972s, Decrypt+Deserialize time: 0.1378s
Round: 3, Train time: 18.0036s, Encrypt+Serialize time: 0.6157s, Decrypt+Deserialize time: 0.1403s
Round: 4, Train time: 23.4251s, Encrypt+Serialize time: 0.6763s, Decrypt+Deserialize time: 0.1472s
Round: 5, Train time: 23.1817s, Encrypt+Serialize time: 0.6012s, Decrypt+Deserialize time: 0.1452s
Round: 6, Train time: 22.2657s, Encrypt+Serialize time: 0.6364s, Decrypt+Deserialize time: 0.1441s
Round: 7, Train time: 29.4742s, Encrypt+Serialize time: 0.6453s, Decrypt+Deserialize time: 0.1555s
Round: 8, Train time: 31.2225s, Encrypt+Serialize time: 0.5894s, Decrypt+Deserialize time: 0.1581s
Round: 9, Train time: 28.7296s, Encrypt+Serialize time: 0.6528s, Decrypt+Deserialize time: 0.1736s
Round: 10, Train time: 27.4596s, Encrypt+Serialize time: 0.6568s, Decrypt+Deserialize time: 0.1686s
Round: 11, Train time: 32.9657s, Encrypt+Serialize time: 0.6210s, Decrypt+Deserialize time: 0.1673s
Round: 12, Train time: 24.9308s, Encrypt+Serialize time: 0.6670s, Decrypt+Deserialize time: 0.2000s
Round: 13, Train time: 22.8191s, Encrypt+Serialize time: 0.6386s, Decrypt+Deserialize time: 0.1413s
Round: 14, Train time: 21.4200s, Encrypt+Serialize time: 0.6177s, Decrypt+Deserialize time: 0.1426s
Round: 15, Train time: 16.6393s, Encrypt+Serialize time: 0.5699s, Decrypt+Deserialize time: 0.1577s
Round: 16, Train time: 10.9628s, Encrypt+Serialize time: 0.5643s, Decrypt+Deserialize time: 0.1465s
Round: 17, Train time: 21.7911s, Encrypt+Serialize time: 0.7048s, Decrypt+Deserialize time: 0.1764s
Round: 18, Train time: 20.2373s, Encrypt+Serialize time: 0.6956s, Decrypt+Deserialize time: 0.1703s
Round: 19, Train time: 23.7510s, Encrypt+Serialize time: 0.6044s, Decrypt+Deserialize time: 0.1490s
Round: 20, Train time: 9.4078s, Encrypt+Serialize time: 0.5732s, Decrypt+Deserialize time: 0.1441s
Round: 21, Train time: 28.6747s, Encrypt+Serialize time: 0.6976s, Decrypt+Deserialize time: 0.1833s
Round: 22, Train time: 23.4074s, Encrypt+Serialize time: 0.6209s, Decrypt+Deserialize time: 0.1999s
Round: 23, Train time: 20.0650s, Encrypt+Serialize time: 0.5983s, Decrypt+Deserialize time: 0.1541s
Round: 24, Train time: 20.4740s, Encrypt+Serialize time: 0.6428s, Decrypt+Deserialize time: 0.1951s
Round: 25, Train time: 30.4627s, Encrypt+Serialize time: 0.6456s, Decrypt+Deserialize time: 0.1542s
Round: 26, Train time: 15.4659s, Encrypt+Serialize time: 0.6136s, Decrypt+Deserialize time: 0.1523s
Round: 27, Train time: 33.0427s, Encrypt+Serialize time: 0.5963s, Decrypt+Deserialize time: 0.1707s
Round: 28, Train time: 20.9065s, Encrypt+Serialize time: 0.6741s, Decrypt+Deserialize time: 0.1662s
Round: 29, Train time: 33.5326s, Encrypt+Serialize time: 0.6961s, Decrypt+Deserialize time: 0.1494s
Round: 30, Train time: 19.9608s, Encrypt+Serialize time: 0.5608s, Decrypt+Deserialize time: 0.1415s
Round: 31, Train time: 27.6990s, Encrypt+Serialize time: 0.7711s, Decrypt+Deserialize time: 0.1773s
Round: 32, Train time: 26.0087s, Encrypt+Serialize time: 0.7870s, Decrypt+Deserialize time: 0.1957s
Round: 33, Train time: 27.8490s, Encrypt+Serialize time: 0.6438s, Decrypt+Deserialize time: 0.1622s
Round: 34, Train time: 22.0940s, Encrypt+Serialize time: 0.5495s, Decrypt+Deserialize time: 0.1464s
Round: 35, Train time: 21.2793s, Encrypt+Serialize time: 0.5432s, Decrypt+Deserialize time: 0.1418s
Round: 36, Train time: 33.7307s, Encrypt+Serialize time: 0.5488s, Decrypt+Deserialize time: 0.1397s
Round: 37, Train time: 26.9260s, Encrypt+Serialize time: 0.5376s, Decrypt+Deserialize time: 0.1332s
Round: 38, Train time: 13.0475s, Encrypt+Serialize time: 0.6429s, Decrypt+Deserialize time: 0.1365s
Round: 39, Train time: 21.3736s, Encrypt+Serialize time: 0.5617s, Decrypt+Deserialize time: 0.1340s
Round: 40, Train time: 26.1977s, Encrypt+Serialize time: 0.5491s, Decrypt+Deserialize time: 0.1333s
Round: 41, Train time: 16.2168s, Encrypt+Serialize time: 0.5664s, Decrypt+Deserialize time: 0.1415s
Round: 42, Train time: 24.8797s, Encrypt+Serialize time: 0.5365s, Decrypt+Deserialize time: 0.1344s
Round: 43, Train time: 12.4227s, Encrypt+Serialize time: 0.5937s, Decrypt+Deserialize time: 0.1311s
Round: 44, Train time: 21.8907s, Encrypt+Serialize time: 0.5462s, Decrypt+Deserialize time: 0.1416s
Round: 45, Train time: 18.5065s, Encrypt+Serialize time: 0.5575s, Decrypt+Deserialize time: 0.1347s
Round: 46, Train time: 25.2495s, Encrypt+Serialize time: 0.5521s, Decrypt+Deserialize time: 0.1498s
Round: 47, Train time: 10.8203s, Encrypt+Serialize time: 0.5469s, Decrypt+Deserialize time: 0.1565s
Round: 48, Train time: 21.5854s, Encrypt+Serialize time: 0.6174s, Decrypt+Deserialize time: 0.1544s
Round: 49, Train time: 21.7388s, Encrypt+Serialize time: 0.5647s, Decrypt+Deserialize time: 0.1484s
Round: 50, Train time: 24.4747s, Encrypt+Serialize time: 0.7038s, Decrypt+Deserialize time: 0.1319s
Round: 51, Train time: 18.9299s, Encrypt+Serialize time: 0.6786s, Decrypt+Deserialize time: 0.2052s
Round: 52, Train time: 14.0852s, Encrypt+Serialize time: 0.5904s, Decrypt+Deserialize time: 0.1548s
Round: 53, Train time: 24.2439s, Encrypt+Serialize time: 0.5923s, Decrypt+Deserialize time: 0.1877s
Round: 54, Train time: 22.9622s, Encrypt+Serialize time: 0.6124s, Decrypt+Deserialize time: 0.1685s
Round: 55, Train time: 28.3922s, Encrypt+Serialize time: 0.6975s, Decrypt+Deserialize time: 0.1655s
Round: 56, Train time: 22.4167s, Encrypt+Serialize time: 0.7502s, Decrypt+Deserialize time: 0.1908s
Round: 57, Train time: 28.9568s, Encrypt+Serialize time: 0.6778s, Decrypt+Deserialize time: 0.1824s
Round: 58, Train time: 22.0968s, Encrypt+Serialize time: 0.6107s, Decrypt+Deserialize time: 0.1944s
Round: 59, Train time: 24.5980s, Encrypt+Serialize time: 0.7134s, Decrypt+Deserialize time: 0.1898s
