Deserialize time: 0.2388s, Aggregation+Serialization time: 0.3061s 
Deserialize time: 0.2432s, Aggregation+Serialization time: 0.0896s 
Deserialize time: 0.2457s, Aggregation+Serialization time: 0.0894s 
Deserialize time: 0.2659s, Aggregation+Serialization time: 0.0943s 
Deserialize time: 0.2529s, Aggregation+Serialization time: 0.0827s 
Deserialize time: 0.0590s, Aggregation+Serialization time: 0.0870s 
Deserialize time: 0.2244s, Aggregation+Serialization time: 0.0891s 
Deserialize time: 0.0549s, Aggregation+Serialization time: 0.0736s 
Deserialize time: 0.2754s, Aggregation+Serialization time: 0.0743s 
Deserialize time: 0.0537s, Aggregation+Serialization time: 0.0901s 
Deserialize time: 0.0546s, Aggregation+Serialization time: 0.0755s 
Deserialize time: 0.0567s, Aggregation+Serialization time: 0.0805s 
Deserialize time: 0.0551s, Aggregation+Serialization time: 0.0734s 
Deserialize time: 0.2298s, Aggregation+Serialization time: 0.0735s 
Deserialize time: 0.0658s, Aggregation+Serialization time: 0.0747s 
Deserialize time: 0.0547s, Aggregation+Serialization time: 0.0764s 
Deserialize time: 0.0661s, Aggregation+Serialization time: 0.0876s 
Deserialize time: 0.2350s, Aggregation+Serialization time: 0.0856s 
Deserialize time: 0.0568s, Aggregation+Serialization time: 0.0775s 
Deserialize time: 0.0561s, Aggregation+Serialization time: 0.0826s 
Deserialize time: 0.0616s, Aggregation+Serialization time: 0.0798s 
Deserialize time: 0.0627s, Aggregation+Serialization time: 0.0855s 
Deserialize time: 0.2569s, Aggregation+Serialization time: 0.0842s 
Deserialize time: 0.0714s, Aggregation+Serialization time: 0.1015s 
Deserialize time: 0.0802s, Aggregation+Serialization time: 0.0838s 
Deserialize time: 0.0597s, Aggregation+Serialization time: 0.0800s 
Deserialize time: 0.0647s, Aggregation+Serialization time: 0.0832s 
Deserialize time: 0.0582s, Aggregation+Serialization time: 0.0772s 
Deserialize time: 0.0753s, Aggregation+Serialization time: 0.0849s 
Deserialize time: 0.0630s, Aggregation+Serialization time: 0.0818s 
