Round: 1, Train time: 22.1357s, Encrypt+Serialize time: 0.8401s, Decrypt+Deserialize time: 0.2793s
Round: 2, Train time: 27.8066s, Encrypt+Serialize time: 1.3697s, Decrypt+Deserialize time: 0.3327s
Round: 3, Train time: 32.4681s, Encrypt+Serialize time: 1.9751s, Decrypt+Deserialize time: 0.5140s
Round: 4, Train time: 33.7488s, Encrypt+Serialize time: 1.1094s, Decrypt+Deserialize time: 0.3147s
Round: 5, Train time: 35.1459s, Encrypt+Serialize time: 1.4432s, Decrypt+Deserialize time: 0.3730s
Round: 6, Train time: 34.7894s, Encrypt+Serialize time: 1.5837s, Decrypt+Deserialize time: 0.3663s
Round: 7, Train time: 32.9229s, Encrypt+Serialize time: 1.7368s, Decrypt+Deserialize time: 0.4673s
Round: 8, Train time: 24.1727s, Encrypt+Serialize time: 1.1531s, Decrypt+Deserialize time: 0.2874s
Round: 9, Train time: 34.9614s, Encrypt+Serialize time: 1.1180s, Decrypt+Deserialize time: 0.2642s
Round: 10, Train time: 36.6675s, Encrypt+Serialize time: 1.3930s, Decrypt+Deserialize time: 0.2997s
Round: 11, Train time: 27.9415s, Encrypt+Serialize time: 1.5864s, Decrypt+Deserialize time: 0.4395s
Round: 12, Train time: 39.3480s, Encrypt+Serialize time: 1.3931s, Decrypt+Deserialize time: 0.3761s
Round: 13, Train time: 25.1389s, Encrypt+Serialize time: 1.1764s, Decrypt+Deserialize time: 0.3379s
Round: 14, Train time: 30.6898s, Encrypt+Serialize time: 1.0251s, Decrypt+Deserialize time: 0.2693s
Round: 15, Train time: 26.7230s, Encrypt+Serialize time: 1.0865s, Decrypt+Deserialize time: 0.2970s
Round: 16, Train time: 30.3340s, Encrypt+Serialize time: 1.0654s, Decrypt+Deserialize time: 0.2633s
Round: 17, Train time: 42.1118s, Encrypt+Serialize time: 1.2443s, Decrypt+Deserialize time: 0.2790s
Round: 18, Train time: 35.3738s, Encrypt+Serialize time: 1.2185s, Decrypt+Deserialize time: 0.3388s
Round: 19, Train time: 36.3547s, Encrypt+Serialize time: 1.2508s, Decrypt+Deserialize time: 0.3162s
Round: 20, Train time: 25.9334s, Encrypt+Serialize time: 1.5267s, Decrypt+Deserialize time: 0.4166s
Round: 21, Train time: 33.2860s, Encrypt+Serialize time: 1.3179s, Decrypt+Deserialize time: 0.3167s
Round: 22, Train time: 38.3062s, Encrypt+Serialize time: 1.4753s, Decrypt+Deserialize time: 0.4250s
Round: 23, Train time: 27.5755s, Encrypt+Serialize time: 1.2737s, Decrypt+Deserialize time: 0.3592s
Round: 24, Train time: 26.7352s, Encrypt+Serialize time: 1.2621s, Decrypt+Deserialize time: 0.3249s
Round: 25, Train time: 26.5740s, Encrypt+Serialize time: 1.3608s, Decrypt+Deserialize time: 0.4037s
Round: 26, Train time: 23.8150s, Encrypt+Serialize time: 1.2288s, Decrypt+Deserialize time: 0.3095s
Round: 27, Train time: 33.0863s, Encrypt+Serialize time: 1.3922s, Decrypt+Deserialize time: 0.3022s
Round: 28, Train time: 26.7829s, Encrypt+Serialize time: 1.4006s, Decrypt+Deserialize time: 0.3937s
Round: 29, Train time: 31.2711s, Encrypt+Serialize time: 1.4920s, Decrypt+Deserialize time: 0.3302s
Round: 30, Train time: 40.4182s, Encrypt+Serialize time: 1.2787s, Decrypt+Deserialize time: 0.3062s
Round: 31, Train time: 32.6762s, Encrypt+Serialize time: 1.9359s, Decrypt+Deserialize time: 0.5078s
Round: 32, Train time: 41.1934s, Encrypt+Serialize time: 1.9416s, Decrypt+Deserialize time: 0.4547s
Round: 33, Train time: 44.0881s, Encrypt+Serialize time: 1.3412s, Decrypt+Deserialize time: 0.3587s
Round: 34, Train time: 27.9207s, Encrypt+Serialize time: 1.3584s, Decrypt+Deserialize time: 0.3408s
Round: 35, Train time: 30.4283s, Encrypt+Serialize time: 1.0981s, Decrypt+Deserialize time: 0.2824s
Round: 36, Train time: 31.7507s, Encrypt+Serialize time: 1.1355s, Decrypt+Deserialize time: 0.3196s
Round: 37, Train time: 36.8053s, Encrypt+Serialize time: 1.3281s, Decrypt+Deserialize time: 0.3164s
