Round: 1, Train time: 22.1357s, Encrypt+Serialize time: 0.8401s, Decrypt+Deserialize time: 0.2793s
Round: 38, Train time: 37.8466s, Encrypt+Serialize time: 1.3242s, Decrypt+Deserialize time: 0.3461s
Round: 39, Train time: 36.7689s, Encrypt+Serialize time: 1.4863s, Decrypt+Deserialize time: 0.3834s
Round: 40, Train time: 27.5174s, Encrypt+Serialize time: 1.4075s, Decrypt+Deserialize time: 0.3490s
Round: 41, Train time: 30.9822s, Encrypt+Serialize time: 1.2483s, Decrypt+Deserialize time: 0.3988s
Round: 42, Train time: 37.1408s, Encrypt+Serialize time: 2.2342s, Decrypt+Deserialize time: 0.6850s
Round: 43, Train time: 32.5182s, Encrypt+Serialize time: 1.6013s, Decrypt+Deserialize time: 0.3889s
Round: 44, Train time: 32.3629s, Encrypt+Serialize time: 1.3899s, Decrypt+Deserialize time: 0.3533s
Round: 45, Train time: 25.5562s, Encrypt+Serialize time: 1.4220s, Decrypt+Deserialize time: 0.3875s
Round: 46, Train time: 28.9649s, Encrypt+Serialize time: 1.2212s, Decrypt+Deserialize time: 0.3274s
Round: 47, Train time: 26.4094s, Encrypt+Serialize time: 1.4325s, Decrypt+Deserialize time: 0.4451s
Round: 48, Train time: 33.6842s, Encrypt+Serialize time: 1.7110s, Decrypt+Deserialize time: 0.4454s
Round: 49, Train time: 25.7989s, Encrypt+Serialize time: 1.2570s, Decrypt+Deserialize time: 0.3172s
Round: 50, Train time: 36.6104s, Encrypt+Serialize time: 1.5007s, Decrypt+Deserialize time: 0.3928s
Round: 51, Train time: 26.5031s, Encrypt+Serialize time: 1.3957s, Decrypt+Deserialize time: 0.3517s
Round: 52, Train time: 26.8018s, Encrypt+Serialize time: 1.3357s, Decrypt+Deserialize time: 0.3218s
Round: 53, Train time: 31.3716s, Encrypt+Serialize time: 1.3565s, Decrypt+Deserialize time: 0.3282s
Round: 54, Train time: 28.4484s, Encrypt+Serialize time: 1.2845s, Decrypt+Deserialize time: 0.3332s
Round: 55, Train time: 44.4698s, Encrypt+Serialize time: 1.3537s, Decrypt+Deserialize time: 0.3315s
Round: 56, Train time: 33.3164s, Encrypt+Serialize time: 2.0851s, Decrypt+Deserialize time: 0.5795s
Round: 57, Train time: 26.8367s, Encrypt+Serialize time: 1.2967s, Decrypt+Deserialize time: 0.4072s
Round: 58, Train time: 31.4703s, Encrypt+Serialize time: 1.6396s, Decrypt+Deserialize time: 0.5253s
Round: 59, Train time: 30.6028s, Encrypt+Serialize time: 1.1953s, Decrypt+Deserialize time: 0.3154s
Round: 60, Train time: 33.0281s, Encrypt+Serialize time: 1.5805s, Decrypt+Deserialize time: 0.4234s
Round: 61, Train time: 31.5370s, Encrypt+Serialize time: 1.3563s, Decrypt+Deserialize time: 0.3731s
Round: 62, Train time: 26.4040s, Encrypt+Serialize time: 1.5202s, Decrypt+Deserialize time: 0.4652s
Round: 63, Train time: 28.1537s, Encrypt+Serialize time: 1.5386s, Decrypt+Deserialize time: 0.4066s
Round: 64, Train time: 31.1042s, Encrypt+Serialize time: 1.2826s, Decrypt+Deserialize time: 0.3351s
Round: 65, Train time: 33.1295s, Encrypt+Serialize time: 1.4743s, Decrypt+Deserialize time: 0.3805s
Round: 66, Train time: 28.4570s, Encrypt+Serialize time: 1.1645s, Decrypt+Deserialize time: 0.3492s
Round: 67, Train time: 35.0907s, Encrypt+Serialize time: 1.5260s, Decrypt+Deserialize time: 0.4624s
Round: 68, Train time: 31.2390s, Encrypt+Serialize time: 1.4558s, Decrypt+Deserialize time: 0.3551s
Round: 69, Train time: 31.1969s, Encrypt+Serialize time: 1.1180s, Decrypt+Deserialize time: 0.3234s
Round: 70, Train time: 32.0756s, Encrypt+Serialize time: 1.4700s, Decrypt+Deserialize time: 0.4058s
Round: 71, Train time: 33.8077s, Encrypt+Serialize time: 1.2258s, Decrypt+Deserialize time: 0.3630s
Round: 72, Train time: 30.3495s, Encrypt+Serialize time: 2.0506s, Decrypt+Deserialize time: 0.5506s
Round: 73, Train time: 30.8257s, Encrypt+Serialize time: 1.4932s, Decrypt+Deserialize time: 0.3821s
Round: 74, Train time: 29.0389s, Encrypt+Serialize time: 1.7263s, Decrypt+Deserialize time: 0.4811s
Round: 75, Train time: 29.6297s, Encrypt+Serialize time: 1.6181s, Decrypt+Deserialize time: 0.3486s
Round: 76, Train time: 40.5173s, Encrypt+Serialize time: 1.4018s, Decrypt+Deserialize time: 0.3408s
Round: 77, Train time: 33.0449s, Encrypt+Serialize time: 1.2745s, Decrypt+Deserialize time: 0.3171s
Round: 78, Train time: 31.0172s, Encrypt+Serialize time: 1.4351s, Decrypt+Deserialize time: 0.4133s
Round: 79, Train time: 31.8268s, Encrypt+Serialize time: 1.5370s, Decrypt+Deserialize time: 0.3650s
Round: 80, Train time: 25.9334s, Encrypt+Serialize time: 1.1491s, Decrypt+Deserialize time: 0.2709s
Round: 81, Train time: 30.5269s, Encrypt+Serialize time: 1.1608s, Decrypt+Deserialize time: 0.3070s
Round: 82, Train time: 23.5285s, Encrypt+Serialize time: 1.1160s, Decrypt+Deserialize time: 0.2809s
Round: 83, Train time: 26.7834s, Encrypt+Serialize time: 1.3343s, Decrypt+Deserialize time: 0.3459s
Round: 84, Train time: 26.0984s, Encrypt+Serialize time: 0.9996s, Decrypt+Deserialize time: 0.2515s
Round: 85, Train time: 32.3014s, Encrypt+Serialize time: 1.3529s, Decrypt+Deserialize time: 0.3646s
Round: 86, Train time: 21.2524s, Encrypt+Serialize time: 1.0708s, Decrypt+Deserialize time: 0.2620s
Round: 87, Train time: 21.8981s, Encrypt+Serialize time: 1.1543s, Decrypt+Deserialize time: 0.2744s
Round: 88, Train time: 30.5615s, Encrypt+Serialize time: 1.8437s, Decrypt+Deserialize time: 0.3656s
Round: 89, Train time: 29.4517s, Encrypt+Serialize time: 1.2601s, Decrypt+Deserialize time: 0.3307s
Round: 90, Train time: 25.9027s, Encrypt+Serialize time: 1.0403s, Decrypt+Deserialize time: 0.2875s
Round: 91, Train time: 25.2400s, Encrypt+Serialize time: 1.5411s, Decrypt+Deserialize time: 0.3042s
Round: 92, Train time: 30.1702s, Encrypt+Serialize time: 1.1182s, Decrypt+Deserialize time: 0.2561s
Round: 93, Train time: 36.2879s, Encrypt+Serialize time: 1.8034s, Decrypt+Deserialize time: 0.4851s
Round: 94, Train time: 20.4284s, Encrypt+Serialize time: 0.9871s, Decrypt+Deserialize time: 0.2714s
Round: 95, Train time: 20.0487s, Encrypt+Serialize time: 1.0316s, Decrypt+Deserialize time: 0.2703s
Round: 96, Train time: 30.3953s, Encrypt+Serialize time: 1.5906s, Decrypt+Deserialize time: 0.4440s
Round: 97, Train time: 25.4977s, Encrypt+Serialize time: 1.3285s, Decrypt+Deserialize time: 0.2783s
Round: 98, Train time: 25.4276s, Encrypt+Serialize time: 1.4625s, Decrypt+Deserialize time: 0.4045s
Round: 99, Train time: 37.5534s, Encrypt+Serialize time: 1.3177s, Decrypt+Deserialize time: 0.3606s
Round: 100, Train time: 36.7121s, Encrypt+Serialize time: 1.1692s, Decrypt+Deserialize time: 0.2772s
Round: 101, Train time: 25.3743s, Encrypt+Serialize time: 1.4443s, Decrypt+Deserialize time: 0.3702s
Round: 102, Train time: 30.9728s, Encrypt+Serialize time: 1.3095s, Decrypt+Deserialize time: 0.3647s
Round: 103, Train time: 26.0952s, Encrypt+Serialize time: 1.4914s, Decrypt+Deserialize time: 0.3940s
Round: 104, Train time: 28.7474s, Encrypt+Serialize time: 1.2506s, Decrypt+Deserialize time: 0.3433s
Round: 105, Train time: 35.5084s, Encrypt+Serialize time: 1.3330s, Decrypt+Deserialize time: 0.3019s
Round: 106, Train time: 29.2444s, Encrypt+Serialize time: 1.7968s, Decrypt+Deserialize time: 0.4765s
Round: 107, Train time: 25.1080s, Encrypt+Serialize time: 1.1935s, Decrypt+Deserialize time: 0.3137s
Round: 108, Train time: 31.4510s, Encrypt+Serialize time: 1.2489s, Decrypt+Deserialize time: 0.3457s
Round: 109, Train time: 33.6269s, Encrypt+Serialize time: 1.5551s, Decrypt+Deserialize time: 0.3703s
Round: 110, Train time: 40.2580s, Encrypt+Serialize time: 1.8675s, Decrypt+Deserialize time: 0.4146s
Round: 111, Train time: 24.9370s, Encrypt+Serialize time: 1.1841s, Decrypt+Deserialize time: 0.3118s
Round: 112, Train time: 30.4116s, Encrypt+Serialize time: 1.2422s, Decrypt+Deserialize time: 0.2946s
Round: 113, Train time: 27.0396s, Encrypt+Serialize time: 1.2394s, Decrypt+Deserialize time: 0.3563s
Round: 114, Train time: 31.0691s, Encrypt+Serialize time: 1.3092s, Decrypt+Deserialize time: 0.3599s
Round: 115, Train time: 28.6809s, Encrypt+Serialize time: 1.8900s, Decrypt+Deserialize time: 0.4560s
Round: 116, Train time: 41.8236s, Encrypt+Serialize time: 1.3783s, Decrypt+Deserialize time: 0.3199s
Round: 117, Train time: 33.8501s, Encrypt+Serialize time: 1.2678s, Decrypt+Deserialize time: 0.3278s
Round: 118, Train time: 30.9383s, Encrypt+Serialize time: 1.3584s, Decrypt+Deserialize time: 0.3563s
Round: 119, Train time: 36.9361s, Encrypt+Serialize time: 1.8325s, Decrypt+Deserialize time: 0.3960s
Round: 120, Train time: 28.4351s, Encrypt+Serialize time: 1.4089s, Decrypt+Deserialize time: 0.3109s
Round: 121, Train time: 30.9457s, Encrypt+Serialize time: 1.4098s, Decrypt+Deserialize time: 0.3552s
Round: 122, Train time: 29.4821s, Encrypt+Serialize time: 1.2797s, Decrypt+Deserialize time: 0.3479s
Round: 123, Train time: 33.9592s, Encrypt+Serialize time: 1.3321s, Decrypt+Deserialize time: 0.3153s
Round: 124, Train time: 22.5697s, Encrypt+Serialize time: 0.6181s, Decrypt+Deserialize time: 0.1646s
Round: 125, Train time: 13.0146s, Encrypt+Serialize time: 0.6100s, Decrypt+Deserialize time: 0.1997s
Round: 126, Train time: 14.3825s, Encrypt+Serialize time: 0.5617s, Decrypt+Deserialize time: 0.1345s
Round: 127, Train time: 26.9543s, Encrypt+Serialize time: 0.5887s, Decrypt+Deserialize time: 0.1529s
Round: 128, Train time: 13.0230s, Encrypt+Serialize time: 0.5857s, Decrypt+Deserialize time: 0.1333s
Round: 129, Train time: 12.3923s, Encrypt+Serialize time: 0.6976s, Decrypt+Deserialize time: 0.1839s
Round: 130, Train time: 29.5076s, Encrypt+Serialize time: 0.7001s, Decrypt+Deserialize time: 0.1454s
Round: 131, Train time: 17.6791s, Encrypt+Serialize time: 0.6496s, Decrypt+Deserialize time: 0.1364s
Round: 132, Train time: 17.6651s, Encrypt+Serialize time: 0.5989s, Decrypt+Deserialize time: 0.1743s
Round: 133, Train time: 22.7372s, Encrypt+Serialize time: 0.7635s, Decrypt+Deserialize time: 0.2179s
Round: 134, Train time: 31.1460s, Encrypt+Serialize time: 0.8280s, Decrypt+Deserialize time: 0.2147s
Round: 135, Train time: 14.2434s, Encrypt+Serialize time: 0.6072s, Decrypt+Deserialize time: 0.1385s
Round: 136, Train time: 18.5687s, Encrypt+Serialize time: 0.6011s, Decrypt+Deserialize time: 0.1358s
Round: 137, Train time: 24.6423s, Encrypt+Serialize time: 0.6835s, Decrypt+Deserialize time: 0.1717s
Round: 138, Train time: 31.1278s, Encrypt+Serialize time: 0.7698s, Decrypt+Deserialize time: 0.1652s
Round: 139, Train time: 15.8358s, Encrypt+Serialize time: 0.7220s, Decrypt+Deserialize time: 0.1550s
Round: 140, Train time: 10.5380s, Encrypt+Serialize time: 0.5931s, Decrypt+Deserialize time: 0.1331s
Round: 141, Train time: 26.8253s, Encrypt+Serialize time: 0.7621s, Decrypt+Deserialize time: 0.1467s
Round: 142, Train time: 14.8079s, Encrypt+Serialize time: 0.6333s, Decrypt+Deserialize time: 0.1407s
Round: 143, Train time: 17.1978s, Encrypt+Serialize time: 0.6164s, Decrypt+Deserialize time: 0.1740s
Round: 144, Train time: 23.8141s, Encrypt+Serialize time: 0.6541s, Decrypt+Deserialize time: 0.1404s
Round: 145, Train time: 21.5980s, Encrypt+Serialize time: 0.6579s, Decrypt+Deserialize time: 0.1607s
Round: 146, Train time: 20.7894s, Encrypt+Serialize time: 0.6595s, Decrypt+Deserialize time: 0.1767s
Round: 147, Train time: 14.7644s, Encrypt+Serialize time: 0.5759s, Decrypt+Deserialize time: 0.1429s
Round: 148, Train time: 18.1237s, Encrypt+Serialize time: 0.7178s, Decrypt+Deserialize time: 0.1565s
Round: 149, Train time: 18.8505s, Encrypt+Serialize time: 0.8307s, Decrypt+Deserialize time: 0.1976s
Round: 150, Train time: 17.1041s, Encrypt+Serialize time: 0.6436s, Decrypt+Deserialize time: 0.2044s
Round: 151, Train time: 31.0222s, Encrypt+Serialize time: 0.8534s, Decrypt+Deserialize time: 0.2387s
Round: 152, Train time: 22.5079s, Encrypt+Serialize time: 0.8316s, Decrypt+Deserialize time: 0.2089s
Round: 153, Train time: 28.5591s, Encrypt+Serialize time: 0.7490s, Decrypt+Deserialize time: 0.2007s
Round: 154, Train time: 23.8275s, Encrypt+Serialize time: 0.7172s, Decrypt+Deserialize time: 0.1870s
Round: 155, Train time: 22.3589s, Encrypt+Serialize time: 0.7613s, Decrypt+Deserialize time: 0.1823s
Round: 156, Train time: 22.5533s, Encrypt+Serialize time: 0.6734s, Decrypt+Deserialize time: 0.1865s
Round: 157, Train time: 22.0466s, Encrypt+Serialize time: 0.8100s, Decrypt+Deserialize time: 0.2091s
Round: 158, Train time: 16.4656s, Encrypt+Serialize time: 0.6532s, Decrypt+Deserialize time: 0.1457s
Round: 159, Train time: 21.8158s, Encrypt+Serialize time: 0.6801s, Decrypt+Deserialize time: 0.1340s
Round: 160, Train time: 25.7539s, Encrypt+Serialize time: 0.6941s, Decrypt+Deserialize time: 0.1800s
Round: 161, Train time: 19.4221s, Encrypt+Serialize time: 0.8442s, Decrypt+Deserialize time: 0.2282s
Round: 162, Train time: 21.0741s, Encrypt+Serialize time: 0.6932s, Decrypt+Deserialize time: 0.1833s
Round: 163, Train time: 22.1188s, Encrypt+Serialize time: 0.6489s, Decrypt+Deserialize time: 0.1612s
Round: 164, Train time: 15.4080s, Encrypt+Serialize time: 0.7325s, Decrypt+Deserialize time: 0.1866s
Round: 165, Train time: 27.8649s, Encrypt+Serialize time: 0.8049s, Decrypt+Deserialize time: 0.1974s
Round: 166, Train time: 21.4190s, Encrypt+Serialize time: 0.6192s, Decrypt+Deserialize time: 0.1647s
Round: 167, Train time: 24.4441s, Encrypt+Serialize time: 0.7521s, Decrypt+Deserialize time: 0.2024s
Round: 168, Train time: 23.2398s, Encrypt+Serialize time: 0.7404s, Decrypt+Deserialize time: 0.2031s
Round: 169, Train time: 13.8030s, Encrypt+Serialize time: 0.6980s, Decrypt+Deserialize time: 0.1604s
Round: 170, Train time: 19.6537s, Encrypt+Serialize time: 0.7553s, Decrypt+Deserialize time: 0.2141s
Round: 171, Train time: 27.9350s, Encrypt+Serialize time: 0.8194s, Decrypt+Deserialize time: 0.2217s
Round: 172, Train time: 21.7768s, Encrypt+Serialize time: 0.8918s, Decrypt+Deserialize time: 0.2196s
Round: 173, Train time: 20.9480s, Encrypt+Serialize time: 0.6501s, Decrypt+Deserialize time: 0.1792s
Round: 174, Train time: 24.5770s, Encrypt+Serialize time: 0.6030s, Decrypt+Deserialize time: 0.1513s
Round: 175, Train time: 23.8689s, Encrypt+Serialize time: 0.6606s, Decrypt+Deserialize time: 0.1656s
Round: 176, Train time: 23.7204s, Encrypt+Serialize time: 0.6250s, Decrypt+Deserialize time: 0.1550s
Round: 177, Train time: 14.8614s, Encrypt+Serialize time: 0.6484s, Decrypt+Deserialize time: 0.1369s
Round: 178, Train time: 15.7918s, Encrypt+Serialize time: 0.5393s, Decrypt+Deserialize time: 0.1890s
Round: 179, Train time: 22.3980s, Encrypt+Serialize time: 0.6038s, Decrypt+Deserialize time: 0.1623s
Round: 180, Train time: 23.6218s, Encrypt+Serialize time: 0.6803s, Decrypt+Deserialize time: 0.1622s
Round: 181, Train time: 17.0737s, Encrypt+Serialize time: 0.5573s, Decrypt+Deserialize time: 0.1341s
Round: 182, Train time: 15.3590s, Encrypt+Serialize time: 0.5500s, Decrypt+Deserialize time: 0.1578s
Round: 183, Train time: 14.9404s, Encrypt+Serialize time: 0.6109s, Decrypt+Deserialize time: 0.1339s
Round: 184, Train time: 18.8943s, Encrypt+Serialize time: 0.5421s, Decrypt+Deserialize time: 0.1352s
Round: 185, Train time: 20.7776s, Encrypt+Serialize time: 0.6044s, Decrypt+Deserialize time: 0.1485s
Round: 186, Train time: 11.1358s, Encrypt+Serialize time: 0.5471s, Decrypt+Deserialize time: 0.1441s
Round: 187, Train time: 26.2871s, Encrypt+Serialize time: 0.6103s, Decrypt+Deserialize time: 0.1524s
Round: 188, Train time: 18.3488s, Encrypt+Serialize time: 0.5684s, Decrypt+Deserialize time: 0.1500s
Round: 189, Train time: 22.4087s, Encrypt+Serialize time: 0.6917s, Decrypt+Deserialize time: 0.1656s
Round: 190, Train time: 15.8703s, Encrypt+Serialize time: 0.5756s, Decrypt+Deserialize time: 0.1339s
Round: 191, Train time: 25.5096s, Encrypt+Serialize time: 0.6486s, Decrypt+Deserialize time: 0.1546s
Round: 192, Train time: 12.1982s, Encrypt+Serialize time: 0.6250s, Decrypt+Deserialize time: 0.1326s
Round: 193, Train time: 14.4195s, Encrypt+Serialize time: 0.5879s, Decrypt+Deserialize time: 0.1619s
Round: 194, Train time: 21.4479s, Encrypt+Serialize time: 0.6185s, Decrypt+Deserialize time: 0.1862s
Round: 195, Train time: 27.0810s, Encrypt+Serialize time: 0.7271s, Decrypt+Deserialize time: 0.1337s
Round: 196, Train time: 24.2383s, Encrypt+Serialize time: 0.5918s, Decrypt+Deserialize time: 0.1776s
Round: 197, Train time: 10.5965s, Encrypt+Serialize time: 0.5654s, Decrypt+Deserialize time: 0.1842s
Round: 198, Train time: 18.5527s, Encrypt+Serialize time: 0.6528s, Decrypt+Deserialize time: 0.1758s
Round: 199, Train time: 13.9006s, Encrypt+Serialize time: 0.5492s, Decrypt+Deserialize time: 0.2139s
Round: 200, Train time: 20.7766s, Encrypt+Serialize time: 0.5824s, Decrypt+Deserialize time: 0.1423s
Round: 201, Train time: 13.2619s, Encrypt+Serialize time: 0.5589s, Decrypt+Deserialize time: 0.1353s
Round: 202, Train time: 26.3478s, Encrypt+Serialize time: 0.7074s, Decrypt+Deserialize time: 0.1705s
Round: 203, Train time: 20.2618s, Encrypt+Serialize time: 0.5521s, Decrypt+Deserialize time: 0.1537s
Round: 204, Train time: 16.4472s, Encrypt+Serialize time: 0.5502s, Decrypt+Deserialize time: 0.1614s
Round: 205, Train time: 9.2325s, Encrypt+Serialize time: 0.5362s, Decrypt+Deserialize time: 0.1463s
Round: 206, Train time: 9.2691s, Encrypt+Serialize time: 0.6583s, Decrypt+Deserialize time: 0.1788s
Round: 207, Train time: 9.8198s, Encrypt+Serialize time: 0.5592s, Decrypt+Deserialize time: 0.1409s
Round: 208, Train time: 21.1905s, Encrypt+Serialize time: 0.5574s, Decrypt+Deserialize time: 0.1332s
Round: 209, Train time: 26.0378s, Encrypt+Serialize time: 0.6772s, Decrypt+Deserialize time: 0.1458s
Round: 210, Train time: 23.8975s, Encrypt+Serialize time: 0.5953s, Decrypt+Deserialize time: 0.1484s
Round: 211, Train time: 15.5915s, Encrypt+Serialize time: 0.5747s, Decrypt+Deserialize time: 0.1541s
Round: 212, Train time: 27.3218s, Encrypt+Serialize time: 0.5900s, Decrypt+Deserialize time: 0.1343s
Round: 213, Train time: 34.2842s, Encrypt+Serialize time: 0.6350s, Decrypt+Deserialize time: 0.1595s
Round: 214, Train time: 34.8318s, Encrypt+Serialize time: 0.5836s, Decrypt+Deserialize time: 0.1436s
Round: 215, Train time: 16.6173s, Encrypt+Serialize time: 0.5415s, Decrypt+Deserialize time: 0.1330s
Round: 216, Train time: 15.1101s, Encrypt+Serialize time: 0.5672s, Decrypt+Deserialize time: 0.1505s
Round: 217, Train time: 25.2336s, Encrypt+Serialize time: 0.5366s, Decrypt+Deserialize time: 0.1367s
Round: 218, Train time: 22.1095s, Encrypt+Serialize time: 0.5528s, Decrypt+Deserialize time: 0.1571s
Round: 219, Train time: 27.0485s, Encrypt+Serialize time: 0.5623s, Decrypt+Deserialize time: 0.1478s
Round: 220, Train time: 25.7745s, Encrypt+Serialize time: 0.5520s, Decrypt+Deserialize time: 0.1340s
Round: 221, Train time: 18.5430s, Encrypt+Serialize time: 0.5392s, Decrypt+Deserialize time: 0.1335s
Round: 222, Train time: 15.4768s, Encrypt+Serialize time: 0.5545s, Decrypt+Deserialize time: 0.1339s
Round: 223, Train time: 26.4549s, Encrypt+Serialize time: 0.7167s, Decrypt+Deserialize time: 0.1666s
Round: 224, Train time: 11.4202s, Encrypt+Serialize time: 0.5373s, Decrypt+Deserialize time: 0.1330s
Round: 225, Train time: 27.7603s, Encrypt+Serialize time: 0.6123s, Decrypt+Deserialize time: 0.1403s
Round: 226, Train time: 25.6950s, Encrypt+Serialize time: 0.5668s, Decrypt+Deserialize time: 0.1338s
