Deserialize time: 0.1412s, Aggregation+Serialization time: 0.1837s 
Deserialize time: 0.1393s, Aggregation+Serialization time: 0.1733s 
Deserialize time: 0.1289s, Aggregation+Serialization time: 0.1693s 
Deserialize time: 0.1915s, Aggregation+Serialization time: 0.2128s 
Deserialize time: 0.1392s, Aggregation+Serialization time: 0.1859s 
Deserialize time: 0.1715s, Aggregation+Serialization time: 0.2293s 
Deserialize time: 0.0975s, Aggregation+Serialization time: 0.1384s 
Deserialize time: 0.1073s, Aggregation+Serialization time: 0.1557s 
Deserialize time: 0.0981s, Aggregation+Serialization time: 0.1366s 
Deserialize time: 0.1337s, Aggregation+Serialization time: 0.1717s 
Deserialize time: 0.1429s, Aggregation+Serialization time: 0.1930s 
Deserialize time: 0.1644s, Aggregation+Serialization time: 0.1803s 
Deserialize time: 0.1361s, Aggregation+Serialization time: 0.1987s 
Deserialize time: 0.1032s, Aggregation+Serialization time: 0.1325s 
Deserialize time: 0.1143s, Aggregation+Serialization time: 0.1424s 
Deserialize time: 0.1224s, Aggregation+Serialization time: 0.1840s 
Deserialize time: 0.1111s, Aggregation+Serialization time: 0.1394s 
Deserialize time: 0.1414s, Aggregation+Serialization time: 0.1523s 
Deserialize time: 0.1161s, Aggregation+Serialization time: 0.1323s 
Deserialize time: 0.1176s, Aggregation+Serialization time: 0.1424s 
Deserialize time: 0.1036s, Aggregation+Serialization time: 0.1364s 
Deserialize time: 0.1338s, Aggregation+Serialization time: 0.1361s 
Deserialize time: 0.1382s, Aggregation+Serialization time: 0.1878s 
Deserialize time: 0.1245s, Aggregation+Serialization time: 0.2026s 
Deserialize time: 0.1437s, Aggregation+Serialization time: 0.1773s 
Deserialize time: 0.1474s, Aggregation+Serialization time: 0.1778s 
Deserialize time: 0.1327s, Aggregation+Serialization time: 0.1819s 
Deserialize time: 0.1198s, Aggregation+Serialization time: 0.1770s 
Deserialize time: 0.1259s, Aggregation+Serialization time: 0.1679s 
Deserialize time: 0.1176s, Aggregation+Serialization time: 0.1459s 
Deserialize time: 0.1034s, Aggregation+Serialization time: 0.1399s 
Deserialize time: 0.1195s, Aggregation+Serialization time: 0.1424s 
Deserialize time: 0.1091s, Aggregation+Serialization time: 0.1278s 
Deserialize time: 0.1193s, Aggregation+Serialization time: 0.1490s 
Deserialize time: 0.1115s, Aggregation+Serialization time: 0.1514s 
Deserialize time: 0.1314s, Aggregation+Serialization time: 0.1493s 
Deserialize time: 0.1586s, Aggregation+Serialization time: 0.1931s 
Deserialize time: 0.1962s, Aggregation+Serialization time: 0.2254s 
Deserialize time: 0.2134s, Aggregation+Serialization time: 0.2387s 
Deserialize time: 0.1966s, Aggregation+Serialization time: 0.2224s 
Deserialize time: 0.1463s, Aggregation+Serialization time: 0.1984s 
Deserialize time: 0.1396s, Aggregation+Serialization time: 0.1577s 
Deserialize time: 0.1069s, Aggregation+Serialization time: 0.1666s 
Deserialize time: 0.1283s, Aggregation+Serialization time: 0.1526s 
Deserialize time: 0.1072s, Aggregation+Serialization time: 0.1645s 
Deserialize time: 0.1124s, Aggregation+Serialization time: 0.1468s 
Deserialize time: 0.0969s, Aggregation+Serialization time: 0.1413s 
Deserialize time: 0.0978s, Aggregation+Serialization time: 0.1570s 
Deserialize time: 0.1348s, Aggregation+Serialization time: 0.1942s 
Deserialize time: 0.1893s, Aggregation+Serialization time: 0.2316s 
Deserialize time: 0.1144s, Aggregation+Serialization time: 0.1722s 
Deserialize time: 0.1501s, Aggregation+Serialization time: 0.1630s 
Deserialize time: 0.1466s, Aggregation+Serialization time: 0.1772s 
Deserialize time: 0.1332s, Aggregation+Serialization time: 0.1628s 
Deserialize time: 0.1415s, Aggregation+Serialization time: 0.1469s 
Deserialize time: 0.1223s, Aggregation+Serialization time: 0.1561s 
Deserialize time: 0.1380s, Aggregation+Serialization time: 0.2112s 
Deserialize time: 0.1708s, Aggregation+Serialization time: 0.2450s 
Deserialize time: 0.1478s, Aggregation+Serialization time: 0.1948s 
Deserialize time: 0.1647s, Aggregation+Serialization time: 0.2081s 
Deserialize time: 0.1203s, Aggregation+Serialization time: 0.1894s 
Deserialize time: 0.1276s, Aggregation+Serialization time: 0.1604s 
Deserialize time: 0.1076s, Aggregation+Serialization time: 0.1616s 
Deserialize time: 0.1204s, Aggregation+Serialization time: 0.1280s 
Deserialize time: 0.1090s, Aggregation+Serialization time: 0.1496s 
Deserialize time: 0.1335s, Aggregation+Serialization time: 0.1551s 
Deserialize time: 0.1370s, Aggregation+Serialization time: 0.1944s 
Deserialize time: 0.1571s, Aggregation+Serialization time: 0.2284s 
Deserialize time: 0.2134s, Aggregation+Serialization time: 0.2479s 
Deserialize time: 0.1695s, Aggregation+Serialization time: 0.2359s 
Deserialize time: 0.1746s, Aggregation+Serialization time: 0.2340s 
Deserialize time: 0.1633s, Aggregation+Serialization time: 0.1890s 
Deserialize time: 0.1421s, Aggregation+Serialization time: 0.1918s 
Deserialize time: 0.1300s, Aggregation+Serialization time: 0.1591s 
Deserialize time: 0.1193s, Aggregation+Serialization time: 0.1808s 
Deserialize time: 0.1222s, Aggregation+Serialization time: 0.1631s 
Deserialize time: 0.1213s, Aggregation+Serialization time: 0.1740s 
Deserialize time: 0.1141s, Aggregation+Serialization time: 0.1868s 
Deserialize time: 0.1261s, Aggregation+Serialization time: 0.2124s 
Deserialize time: 0.1726s, Aggregation+Serialization time: 0.2060s 
Deserialize time: 0.1291s, Aggregation+Serialization time: 0.1625s 
Deserialize time: 0.1384s, Aggregation+Serialization time: 0.2111s 
Deserialize time: 0.1778s, Aggregation+Serialization time: 0.2610s 
Deserialize time: 0.1546s, Aggregation+Serialization time: 0.2208s 
Deserialize time: 0.1814s, Aggregation+Serialization time: 0.2190s 
Deserialize time: 0.1741s, Aggregation+Serialization time: 0.2393s 
Deserialize time: 0.1461s, Aggregation+Serialization time: 0.1929s 
Deserialize time: 0.1584s, Aggregation+Serialization time: 0.1709s 
Deserialize time: 0.1610s, Aggregation+Serialization time: 0.2290s 
Deserialize time: 0.1226s, Aggregation+Serialization time: 0.1533s 
Deserialize time: 0.1155s, Aggregation+Serialization time: 0.1493s 
Deserialize time: 0.1382s, Aggregation+Serialization time: 0.1583s 
Deserialize time: 0.1146s, Aggregation+Serialization time: 0.1773s 
Deserialize time: 0.1458s, Aggregation+Serialization time: 0.1519s 
Deserialize time: 0.0973s, Aggregation+Serialization time: 0.1611s 
Deserialize time: 0.1180s, Aggregation+Serialization time: 0.1528s 
Deserialize time: 0.1307s, Aggregation+Serialization time: 0.1526s 
Deserialize time: 0.1496s, Aggregation+Serialization time: 0.1813s 
Deserialize time: 0.1378s, Aggregation+Serialization time: 0.1705s 
Deserialize time: 0.1540s, Aggregation+Serialization time: 0.2104s 
Deserialize time: 0.1355s, Aggregation+Serialization time: 0.1766s 
Deserialize time: 0.1164s, Aggregation+Serialization time: 0.1509s 
Deserialize time: 0.1278s, Aggregation+Serialization time: 0.1560s 
Deserialize time: 0.1132s, Aggregation+Serialization time: 0.1624s 
Deserialize time: 0.1359s, Aggregation+Serialization time: 0.1606s 
Deserialize time: 0.1701s, Aggregation+Serialization time: 0.1709s 
