Round: 1, Train time: 40.8848s, Encrypt+Serialize time: 0.9965s, Decrypt+Deserialize time: 0.3049s
Round: 2, Train time: 37.1986s, Encrypt+Serialize time: 0.9902s, Decrypt+Deserialize time: 0.2687s
Round: 3, Train time: 38.6809s, Encrypt+Serialize time: 0.8984s, Decrypt+Deserialize time: 0.2397s
Round: 4, Train time: 38.6205s, Encrypt+Serialize time: 0.9814s, Decrypt+Deserialize time: 0.2684s
Round: 5, Train time: 42.5877s, Encrypt+Serialize time: 1.2256s, Decrypt+Deserialize time: 0.2503s
Round: 6, Train time: 40.4394s, Encrypt+Serialize time: 0.9758s, Decrypt+Deserialize time: 0.2703s
Round: 7, Train time: 39.7477s, Encrypt+Serialize time: 0.8863s, Decrypt+Deserialize time: 0.2374s
Round: 8, Train time: 39.8534s, Encrypt+Serialize time: 0.9692s, Decrypt+Deserialize time: 0.2455s
Round: 9, Train time: 32.6122s, Encrypt+Serialize time: 1.0103s, Decrypt+Deserialize time: 0.2590s
Round: 10, Train time: 35.7433s, Encrypt+Serialize time: 0.9208s, Decrypt+Deserialize time: 0.2410s
Round: 11, Train time: 37.8698s, Encrypt+Serialize time: 1.0129s, Decrypt+Deserialize time: 0.2545s
Round: 12, Train time: 37.2172s, Encrypt+Serialize time: 0.9829s, Decrypt+Deserialize time: 0.2451s
Round: 13, Train time: 30.2085s, Encrypt+Serialize time: 0.9455s, Decrypt+Deserialize time: 0.2466s
Round: 14, Train time: 35.6918s, Encrypt+Serialize time: 1.0159s, Decrypt+Deserialize time: 0.2760s
Round: 15, Train time: 38.8445s, Encrypt+Serialize time: 1.0006s, Decrypt+Deserialize time: 0.2606s
Round: 16, Train time: 44.1246s, Encrypt+Serialize time: 1.0222s, Decrypt+Deserialize time: 0.2659s
Round: 17, Train time: 38.4161s, Encrypt+Serialize time: 1.2445s, Decrypt+Deserialize time: 0.3347s
Round: 18, Train time: 39.2721s, Encrypt+Serialize time: 1.0636s, Decrypt+Deserialize time: 0.2586s
Round: 19, Train time: 33.4450s, Encrypt+Serialize time: 1.0108s, Decrypt+Deserialize time: 0.2697s
Round: 20, Train time: 33.2227s, Encrypt+Serialize time: 1.0624s, Decrypt+Deserialize time: 0.2450s
Round: 21, Train time: 33.7552s, Encrypt+Serialize time: 0.9349s, Decrypt+Deserialize time: 0.3218s
Round: 22, Train time: 36.2327s, Encrypt+Serialize time: 1.0502s, Decrypt+Deserialize time: 0.2221s
Round: 23, Train time: 34.1455s, Encrypt+Serialize time: 1.0663s, Decrypt+Deserialize time: 0.2441s
Round: 24, Train time: 37.5152s, Encrypt+Serialize time: 1.2266s, Decrypt+Deserialize time: 0.2935s
