Round: 1, Train time: 42.5342s, Encrypt+Serialize time: 1.2892s, Decrypt+Deserialize time: 0.3389s
Round: 2, Train time: 63.1862s, Encrypt+Serialize time: 1.1816s, Decrypt+Deserialize time: 0.2781s
Round: 3, Train time: 60.2164s, Encrypt+Serialize time: 1.1601s, Decrypt+Deserialize time: 0.3080s
Round: 4, Train time: 56.0474s, Encrypt+Serialize time: 1.2616s, Decrypt+Deserialize time: 0.2779s
Round: 5, Train time: 60.9821s, Encrypt+Serialize time: 1.2711s, Decrypt+Deserialize time: 0.3386s
Round: 6, Train time: 45.8786s, Encrypt+Serialize time: 1.2236s, Decrypt+Deserialize time: 0.3225s
Round: 7, Train time: 54.6005s, Encrypt+Serialize time: 1.7656s, Decrypt+Deserialize time: 0.4227s
Round: 8, Train time: 53.1733s, Encrypt+Serialize time: 1.7393s, Decrypt+Deserialize time: 0.4492s
Round: 9, Train time: 49.5745s, Encrypt+Serialize time: 1.1804s, Decrypt+Deserialize time: 0.3357s
Round: 10, Train time: 54.3172s, Encrypt+Serialize time: 1.1947s, Decrypt+Deserialize time: 0.3018s
Round: 11, Train time: 53.2349s, Encrypt+Serialize time: 1.1195s, Decrypt+Deserialize time: 0.2750s
Round: 12, Train time: 62.0684s, Encrypt+Serialize time: 1.0852s, Decrypt+Deserialize time: 0.2798s
Round: 13, Train time: 57.0114s, Encrypt+Serialize time: 1.4460s, Decrypt+Deserialize time: 0.3777s
Round: 14, Train time: 47.7468s, Encrypt+Serialize time: 1.5684s, Decrypt+Deserialize time: 0.4278s
Round: 15, Train time: 58.6893s, Encrypt+Serialize time: 1.1715s, Decrypt+Deserialize time: 0.3581s
Round: 16, Train time: 59.1735s, Encrypt+Serialize time: 1.1526s, Decrypt+Deserialize time: 0.3330s
Round: 17, Train time: 46.1516s, Encrypt+Serialize time: 1.2427s, Decrypt+Deserialize time: 0.3175s
Round: 18, Train time: 47.4757s, Encrypt+Serialize time: 1.6713s, Decrypt+Deserialize time: 0.4619s
Round: 19, Train time: 55.6628s, Encrypt+Serialize time: 1.2138s, Decrypt+Deserialize time: 0.3058s
Round: 20, Train time: 48.9914s, Encrypt+Serialize time: 1.4401s, Decrypt+Deserialize time: 0.4180s
Round: 21, Train time: 51.7700s, Encrypt+Serialize time: 2.2104s, Decrypt+Deserialize time: 0.5439s
Round: 22, Train time: 54.7674s, Encrypt+Serialize time: 1.2991s, Decrypt+Deserialize time: 0.3044s
Round: 23, Train time: 60.3776s, Encrypt+Serialize time: 1.2320s, Decrypt+Deserialize time: 0.3282s
Round: 24, Train time: 63.4305s, Encrypt+Serialize time: 1.2307s, Decrypt+Deserialize time: 0.3389s
Round: 25, Train time: 48.0197s, Encrypt+Serialize time: 1.5422s, Decrypt+Deserialize time: 0.4681s
Round: 26, Train time: 51.5460s, Encrypt+Serialize time: 1.7213s, Decrypt+Deserialize time: 0.4582s
Round: 27, Train time: 53.4115s, Encrypt+Serialize time: 1.6190s, Decrypt+Deserialize time: 0.3910s
Round: 28, Train time: 61.5819s, Encrypt+Serialize time: 1.3274s, Decrypt+Deserialize time: 0.3466s
Round: 29, Train time: 57.8625s, Encrypt+Serialize time: 1.2302s, Decrypt+Deserialize time: 0.3285s
Round: 30, Train time: 51.1115s, Encrypt+Serialize time: 1.2796s, Decrypt+Deserialize time: 0.3846s
Round: 31, Train time: 59.0256s, Encrypt+Serialize time: 1.6958s, Decrypt+Deserialize time: 0.4614s
Round: 32, Train time: 51.4540s, Encrypt+Serialize time: 1.1668s, Decrypt+Deserialize time: 0.3136s
Round: 33, Train time: 50.5222s, Encrypt+Serialize time: 1.2492s, Decrypt+Deserialize time: 0.3173s
Round: 34, Train time: 55.9030s, Encrypt+Serialize time: 1.3273s, Decrypt+Deserialize time: 0.3664s
Round: 35, Train time: 59.1609s, Encrypt+Serialize time: 1.1569s, Decrypt+Deserialize time: 0.3169s
Round: 36, Train time: 51.1325s, Encrypt+Serialize time: 1.1366s, Decrypt+Deserialize time: 0.3235s
Round: 37, Train time: 50.3837s, Encrypt+Serialize time: 1.3391s, Decrypt+Deserialize time: 0.3526s
Round: 38, Train time: 47.6995s, Encrypt+Serialize time: 1.5348s, Decrypt+Deserialize time: 0.4769s
Round: 39, Train time: 60.4385s, Encrypt+Serialize time: 2.3811s, Decrypt+Deserialize time: 0.4560s
Round: 40, Train time: 56.5137s, Encrypt+Serialize time: 1.2312s, Decrypt+Deserialize time: 0.3253s
Round: 41, Train time: 56.7411s, Encrypt+Serialize time: 1.7769s, Decrypt+Deserialize time: 0.4590s
Round: 42, Train time: 54.0154s, Encrypt+Serialize time: 1.4667s, Decrypt+Deserialize time: 0.3658s
Round: 43, Train time: 52.6397s, Encrypt+Serialize time: 1.3228s, Decrypt+Deserialize time: 0.3335s
Round: 44, Train time: 48.5275s, Encrypt+Serialize time: 1.2859s, Decrypt+Deserialize time: 0.3571s
Round: 45, Train time: 54.4873s, Encrypt+Serialize time: 1.5661s, Decrypt+Deserialize time: 0.5010s
Round: 46, Train time: 56.4607s, Encrypt+Serialize time: 1.9002s, Decrypt+Deserialize time: 0.4118s
Round: 47, Train time: 57.8225s, Encrypt+Serialize time: 1.2893s, Decrypt+Deserialize time: 0.3175s
Round: 48, Train time: 51.3992s, Encrypt+Serialize time: 1.3890s, Decrypt+Deserialize time: 0.3733s
Round: 49, Train time: 58.1949s, Encrypt+Serialize time: 1.8063s, Decrypt+Deserialize time: 0.3954s
Round: 50, Train time: 53.8927s, Encrypt+Serialize time: 1.4484s, Decrypt+Deserialize time: 0.3881s
Round: 51, Train time: 52.6093s, Encrypt+Serialize time: 1.1481s, Decrypt+Deserialize time: 0.2990s
Round: 52, Train time: 52.8109s, Encrypt+Serialize time: 1.7497s, Decrypt+Deserialize time: 0.4735s
