Round: 1, Train time: 43.7434s, Encrypt+Serialize time: 1.0876s, Decrypt+Deserialize time: 0.2711s
Round: 2, Train time: 61.2200s, Encrypt+Serialize time: 1.1359s, Decrypt+Deserialize time: 0.3069s
Round: 3, Train time: 53.2653s, Encrypt+Serialize time: 1.1099s, Decrypt+Deserialize time: 0.3051s
Round: 4, Train time: 56.2435s, Encrypt+Serialize time: 1.6404s, Decrypt+Deserialize time: 0.4326s
Round: 5, Train time: 57.7439s, Encrypt+Serialize time: 1.4994s, Decrypt+Deserialize time: 0.3508s
Round: 6, Train time: 51.7273s, Encrypt+Serialize time: 1.0681s, Decrypt+Deserialize time: 0.3198s
Round: 7, Train time: 55.5476s, Encrypt+Serialize time: 1.1727s, Decrypt+Deserialize time: 0.3191s
Round: 8, Train time: 63.5149s, Encrypt+Serialize time: 1.0823s, Decrypt+Deserialize time: 0.2829s
Round: 9, Train time: 47.0522s, Encrypt+Serialize time: 1.1951s, Decrypt+Deserialize time: 0.3327s
Round: 10, Train time: 52.0870s, Encrypt+Serialize time: 1.1046s, Decrypt+Deserialize time: 0.3028s
Round: 11, Train time: 49.2778s, Encrypt+Serialize time: 1.3817s, Decrypt+Deserialize time: 0.3340s
Round: 12, Train time: 59.2676s, Encrypt+Serialize time: 1.7395s, Decrypt+Deserialize time: 0.3626s
Round: 13, Train time: 50.2367s, Encrypt+Serialize time: 1.1444s, Decrypt+Deserialize time: 0.3255s
Round: 14, Train time: 45.0091s, Encrypt+Serialize time: 1.2167s, Decrypt+Deserialize time: 0.3342s
Round: 15, Train time: 62.9461s, Encrypt+Serialize time: 1.2629s, Decrypt+Deserialize time: 0.3382s
Round: 16, Train time: 55.7446s, Encrypt+Serialize time: 1.6962s, Decrypt+Deserialize time: 0.5109s
Round: 17, Train time: 48.2519s, Encrypt+Serialize time: 1.1391s, Decrypt+Deserialize time: 0.2931s
Round: 18, Train time: 43.8454s, Encrypt+Serialize time: 1.3980s, Decrypt+Deserialize time: 0.3716s
Round: 19, Train time: 48.0303s, Encrypt+Serialize time: 1.0970s, Decrypt+Deserialize time: 0.2989s
Round: 20, Train time: 54.1588s, Encrypt+Serialize time: 1.2535s, Decrypt+Deserialize time: 0.3139s
Round: 21, Train time: 49.8020s, Encrypt+Serialize time: 1.7473s, Decrypt+Deserialize time: 0.4419s
Round: 22, Train time: 58.3152s, Encrypt+Serialize time: 1.2536s, Decrypt+Deserialize time: 0.3630s
Round: 23, Train time: 44.5413s, Encrypt+Serialize time: 1.1801s, Decrypt+Deserialize time: 0.2959s
Round: 24, Train time: 59.6088s, Encrypt+Serialize time: 1.2382s, Decrypt+Deserialize time: 0.3093s
Round: 25, Train time: 60.8426s, Encrypt+Serialize time: 1.2650s, Decrypt+Deserialize time: 0.3310s
Round: 26, Train time: 50.3685s, Encrypt+Serialize time: 1.4654s, Decrypt+Deserialize time: 0.3785s
Round: 27, Train time: 51.5661s, Encrypt+Serialize time: 1.2097s, Decrypt+Deserialize time: 0.3450s
Round: 28, Train time: 54.6490s, Encrypt+Serialize time: 1.2505s, Decrypt+Deserialize time: 0.3415s
Round: 29, Train time: 59.3155s, Encrypt+Serialize time: 1.5173s, Decrypt+Deserialize time: 0.3467s
Round: 30, Train time: 45.4621s, Encrypt+Serialize time: 1.7463s, Decrypt+Deserialize time: 0.5312s
Round: 31, Train time: 52.3856s, Encrypt+Serialize time: 1.3265s, Decrypt+Deserialize time: 0.3008s
Round: 32, Train time: 48.6985s, Encrypt+Serialize time: 1.2785s, Decrypt+Deserialize time: 0.3333s
Round: 33, Train time: 59.3627s, Encrypt+Serialize time: 1.4326s, Decrypt+Deserialize time: 0.3885s
Round: 34, Train time: 57.3692s, Encrypt+Serialize time: 1.6132s, Decrypt+Deserialize time: 0.4210s
Round: 35, Train time: 46.5747s, Encrypt+Serialize time: 1.4831s, Decrypt+Deserialize time: 0.3397s
Round: 36, Train time: 52.8688s, Encrypt+Serialize time: 1.6851s, Decrypt+Deserialize time: 0.3443s
Round: 37, Train time: 40.8717s, Encrypt+Serialize time: 1.5121s, Decrypt+Deserialize time: 0.3566s
Round: 38, Train time: 55.0877s, Encrypt+Serialize time: 1.2643s, Decrypt+Deserialize time: 0.3248s
Round: 39, Train time: 49.7557s, Encrypt+Serialize time: 1.3487s, Decrypt+Deserialize time: 0.3579s
Round: 40, Train time: 43.7381s, Encrypt+Serialize time: 1.6205s, Decrypt+Deserialize time: 0.4945s
Round: 41, Train time: 43.3456s, Encrypt+Serialize time: 1.5398s, Decrypt+Deserialize time: 0.3205s
Round: 42, Train time: 61.6028s, Encrypt+Serialize time: 1.4232s, Decrypt+Deserialize time: 0.3421s
Round: 43, Train time: 56.8366s, Encrypt+Serialize time: 1.3469s, Decrypt+Deserialize time: 0.3355s
