Round: 1, Train time: 35.8873s, Encrypt+Serialize time: 1.0409s, Decrypt+Deserialize time: 0.2518s
Round: 2, Train time: 43.7364s, Encrypt+Serialize time: 0.8877s, Decrypt+Deserialize time: 0.2327s
Round: 3, Train time: 40.0738s, Encrypt+Serialize time: 0.9907s, Decrypt+Deserialize time: 0.2416s
Round: 4, Train time: 37.0908s, Encrypt+Serialize time: 1.1570s, Decrypt+Deserialize time: 0.2949s
Round: 5, Train time: 43.1905s, Encrypt+Serialize time: 0.9193s, Decrypt+Deserialize time: 0.2537s
Round: 6, Train time: 43.7972s, Encrypt+Serialize time: 1.0485s, Decrypt+Deserialize time: 0.2893s
Round: 7, Train time: 33.5050s, Encrypt+Serialize time: 0.8681s, Decrypt+Deserialize time: 0.2222s
Round: 8, Train time: 35.7062s, Encrypt+Serialize time: 0.9470s, Decrypt+Deserialize time: 0.2357s
Round: 9, Train time: 34.6845s, Encrypt+Serialize time: 1.0088s, Decrypt+Deserialize time: 0.2487s
Round: 10, Train time: 43.6696s, Encrypt+Serialize time: 1.0685s, Decrypt+Deserialize time: 0.2677s
Round: 11, Train time: 38.8326s, Encrypt+Serialize time: 1.0977s, Decrypt+Deserialize time: 0.2800s
Round: 12, Train time: 38.7344s, Encrypt+Serialize time: 0.9921s, Decrypt+Deserialize time: 0.2280s
Round: 13, Train time: 35.6487s, Encrypt+Serialize time: 1.0687s, Decrypt+Deserialize time: 0.2826s
Round: 14, Train time: 33.0839s, Encrypt+Serialize time: 0.9964s, Decrypt+Deserialize time: 0.2540s
Round: 15, Train time: 42.2410s, Encrypt+Serialize time: 1.1005s, Decrypt+Deserialize time: 0.2592s
Round: 16, Train time: 36.9441s, Encrypt+Serialize time: 0.9706s, Decrypt+Deserialize time: 0.2518s
Round: 17, Train time: 40.4519s, Encrypt+Serialize time: 0.9591s, Decrypt+Deserialize time: 0.2463s
Round: 18, Train time: 38.9746s, Encrypt+Serialize time: 1.0463s, Decrypt+Deserialize time: 0.2413s
Round: 19, Train time: 43.3042s, Encrypt+Serialize time: 0.9009s, Decrypt+Deserialize time: 0.2712s
Round: 20, Train time: 41.1809s, Encrypt+Serialize time: 0.9944s, Decrypt+Deserialize time: 0.2476s
Round: 21, Train time: 39.8904s, Encrypt+Serialize time: 1.0148s, Decrypt+Deserialize time: 0.2524s
Round: 22, Train time: 34.0009s, Encrypt+Serialize time: 0.9777s, Decrypt+Deserialize time: 0.2880s
Round: 23, Train time: 33.4101s, Encrypt+Serialize time: 1.0761s, Decrypt+Deserialize time: 0.2659s
Round: 24, Train time: 38.0961s, Encrypt+Serialize time: 0.9387s, Decrypt+Deserialize time: 0.3396s
Round: 25, Train time: 38.2027s, Encrypt+Serialize time: 1.0446s, Decrypt+Deserialize time: 0.3019s
Round: 26, Train time: 35.5331s, Encrypt+Serialize time: 1.1586s, Decrypt+Deserialize time: 0.2794s
Round: 27, Train time: 38.1714s, Encrypt+Serialize time: 0.9671s, Decrypt+Deserialize time: 0.2429s
Round: 28, Train time: 43.8345s, Encrypt+Serialize time: 1.1254s, Decrypt+Deserialize time: 0.3115s
Round: 29, Train time: 35.7537s, Encrypt+Serialize time: 1.2106s, Decrypt+Deserialize time: 0.3384s
Round: 30, Train time: 41.5340s, Encrypt+Serialize time: 1.0347s, Decrypt+Deserialize time: 0.3063s
Round: 31, Train time: 42.4459s, Encrypt+Serialize time: 0.9703s, Decrypt+Deserialize time: 0.3010s
