Round: 1, Train time: 53.0419s, Encrypt+Serialize time: 1.1347s, Decrypt+Deserialize time: 0.3136s
Round: 2, Train time: 45.3468s, Encrypt+Serialize time: 1.4196s, Decrypt+Deserialize time: 0.4356s
Round: 3, Train time: 36.6154s, Encrypt+Serialize time: 1.2491s, Decrypt+Deserialize time: 0.3745s
Round: 4, Train time: 47.7832s, Encrypt+Serialize time: 1.0766s, Decrypt+Deserialize time: 0.2563s
Round: 5, Train time: 52.5656s, Encrypt+Serialize time: 1.5065s, Decrypt+Deserialize time: 0.3337s
Round: 6, Train time: 42.3359s, Encrypt+Serialize time: 1.5468s, Decrypt+Deserialize time: 0.3682s
Round: 7, Train time: 44.4920s, Encrypt+Serialize time: 1.1870s, Decrypt+Deserialize time: 0.3141s
Round: 8, Train time: 50.8650s, Encrypt+Serialize time: 1.7088s, Decrypt+Deserialize time: 0.3929s
Round: 9, Train time: 40.5445s, Encrypt+Serialize time: 1.2973s, Decrypt+Deserialize time: 0.2832s
Round: 10, Train time: 42.1676s, Encrypt+Serialize time: 1.1644s, Decrypt+Deserialize time: 0.3308s
Round: 11, Train time: 41.8155s, Encrypt+Serialize time: 1.2663s, Decrypt+Deserialize time: 0.3389s
Round: 12, Train time: 47.9041s, Encrypt+Serialize time: 1.9754s, Decrypt+Deserialize time: 0.4206s
Round: 13, Train time: 32.2065s, Encrypt+Serialize time: 1.3623s, Decrypt+Deserialize time: 0.4095s
Round: 14, Train time: 43.7005s, Encrypt+Serialize time: 1.4928s, Decrypt+Deserialize time: 0.3804s
Round: 15, Train time: 47.1290s, Encrypt+Serialize time: 1.3068s, Decrypt+Deserialize time: 0.4762s
Round: 16, Train time: 41.9519s, Encrypt+Serialize time: 1.5825s, Decrypt+Deserialize time: 0.4139s
Round: 17, Train time: 47.5656s, Encrypt+Serialize time: 1.2347s, Decrypt+Deserialize time: 0.3003s
Round: 18, Train time: 35.4912s, Encrypt+Serialize time: 1.1042s, Decrypt+Deserialize time: 0.3324s
Round: 19, Train time: 35.2595s, Encrypt+Serialize time: 1.1524s, Decrypt+Deserialize time: 0.2432s
Round: 20, Train time: 35.7098s, Encrypt+Serialize time: 1.2598s, Decrypt+Deserialize time: 0.3238s
Round: 21, Train time: 43.9122s, Encrypt+Serialize time: 1.2830s, Decrypt+Deserialize time: 0.3310s
Round: 22, Train time: 41.1060s, Encrypt+Serialize time: 1.2400s, Decrypt+Deserialize time: 0.3358s
Round: 23, Train time: 49.6904s, Encrypt+Serialize time: 1.6736s, Decrypt+Deserialize time: 0.4266s
Round: 24, Train time: 42.3851s, Encrypt+Serialize time: 1.7073s, Decrypt+Deserialize time: 0.3550s
Round: 25, Train time: 50.5691s, Encrypt+Serialize time: 1.3192s, Decrypt+Deserialize time: 0.3376s
Round: 26, Train time: 52.1747s, Encrypt+Serialize time: 1.1717s, Decrypt+Deserialize time: 0.3405s
Round: 27, Train time: 38.3865s, Encrypt+Serialize time: 1.4628s, Decrypt+Deserialize time: 0.3358s
Round: 28, Train time: 36.0697s, Encrypt+Serialize time: 1.2640s, Decrypt+Deserialize time: 0.3511s
Round: 29, Train time: 42.3421s, Encrypt+Serialize time: 1.5059s, Decrypt+Deserialize time: 0.4217s
Round: 30, Train time: 45.4523s, Encrypt+Serialize time: 1.3503s, Decrypt+Deserialize time: 0.3394s
Round: 31, Train time: 45.0720s, Encrypt+Serialize time: 2.0174s, Decrypt+Deserialize time: 0.5695s
Round: 32, Train time: 42.4585s, Encrypt+Serialize time: 1.9403s, Decrypt+Deserialize time: 0.5169s
Round: 33, Train time: 36.5539s, Encrypt+Serialize time: 1.3509s, Decrypt+Deserialize time: 0.3371s
Round: 34, Train time: 40.6493s, Encrypt+Serialize time: 1.3516s, Decrypt+Deserialize time: 0.3382s
Round: 35, Train time: 49.7710s, Encrypt+Serialize time: 1.3571s, Decrypt+Deserialize time: 0.4006s
Round: 36, Train time: 46.1195s, Encrypt+Serialize time: 1.4787s, Decrypt+Deserialize time: 0.4091s
Round: 37, Train time: 35.5422s, Encrypt+Serialize time: 1.4101s, Decrypt+Deserialize time: 0.4116s
Round: 38, Train time: 34.7090s, Encrypt+Serialize time: 1.4785s, Decrypt+Deserialize time: 0.4298s
Round: 39, Train time: 37.0798s, Encrypt+Serialize time: 1.1082s, Decrypt+Deserialize time: 0.3352s
Round: 40, Train time: 47.7059s, Encrypt+Serialize time: 1.5557s, Decrypt+Deserialize time: 0.4062s
Round: 41, Train time: 39.7346s, Encrypt+Serialize time: 1.3530s, Decrypt+Deserialize time: 0.3206s
Round: 42, Train time: 40.1350s, Encrypt+Serialize time: 1.3745s, Decrypt+Deserialize time: 0.3651s
Round: 43, Train time: 35.9972s, Encrypt+Serialize time: 1.3004s, Decrypt+Deserialize time: 0.3278s
Round: 44, Train time: 53.0959s, Encrypt+Serialize time: 1.2811s, Decrypt+Deserialize time: 0.3437s
Round: 45, Train time: 47.3838s, Encrypt+Serialize time: 1.5386s, Decrypt+Deserialize time: 0.3469s
Round: 46, Train time: 37.1033s, Encrypt+Serialize time: 1.5580s, Decrypt+Deserialize time: 0.3874s
Round: 47, Train time: 43.3565s, Encrypt+Serialize time: 1.3342s, Decrypt+Deserialize time: 0.4169s
Round: 48, Train time: 42.9984s, Encrypt+Serialize time: 1.3374s, Decrypt+Deserialize time: 0.3444s
Round: 49, Train time: 41.0840s, Encrypt+Serialize time: 1.6067s, Decrypt+Deserialize time: 0.3808s
Round: 50, Train time: 37.0106s, Encrypt+Serialize time: 1.2277s, Decrypt+Deserialize time: 0.3438s
Round: 51, Train time: 41.4595s, Encrypt+Serialize time: 1.4029s, Decrypt+Deserialize time: 0.3536s
Round: 52, Train time: 39.6309s, Encrypt+Serialize time: 1.3213s, Decrypt+Deserialize time: 0.3183s
Round: 53, Train time: 35.2862s, Encrypt+Serialize time: 1.2175s, Decrypt+Deserialize time: 0.3395s
Round: 54, Train time: 44.7488s, Encrypt+Serialize time: 1.2286s, Decrypt+Deserialize time: 0.3075s
Round: 55, Train time: 39.2029s, Encrypt+Serialize time: 1.2736s, Decrypt+Deserialize time: 0.3355s
Round: 56, Train time: 39.7576s, Encrypt+Serialize time: 1.2798s, Decrypt+Deserialize time: 0.3612s
Round: 57, Train time: 42.3465s, Encrypt+Serialize time: 1.8768s, Decrypt+Deserialize time: 0.4327s
Round: 58, Train time: 39.7893s, Encrypt+Serialize time: 1.3038s, Decrypt+Deserialize time: 0.3091s
Round: 59, Train time: 39.3486s, Encrypt+Serialize time: 1.5679s, Decrypt+Deserialize time: 0.4086s
Round: 60, Train time: 38.4670s, Encrypt+Serialize time: 1.1745s, Decrypt+Deserialize time: 0.3536s
Round: 61, Train time: 39.7120s, Encrypt+Serialize time: 1.3379s, Decrypt+Deserialize time: 0.4188s
Round: 62, Train time: 46.6513s, Encrypt+Serialize time: 1.2181s, Decrypt+Deserialize time: 0.3359s
Round: 63, Train time: 30.5994s, Encrypt+Serialize time: 1.3502s, Decrypt+Deserialize time: 0.3454s
Round: 64, Train time: 40.1107s, Encrypt+Serialize time: 1.2532s, Decrypt+Deserialize time: 0.3120s
Round: 65, Train time: 38.0990s, Encrypt+Serialize time: 1.6176s, Decrypt+Deserialize time: 0.4062s
Round: 66, Train time: 35.8291s, Encrypt+Serialize time: 1.1534s, Decrypt+Deserialize time: 0.2959s
Round: 67, Train time: 37.5282s, Encrypt+Serialize time: 1.2667s, Decrypt+Deserialize time: 0.3048s
Round: 68, Train time: 35.8348s, Encrypt+Serialize time: 1.0888s, Decrypt+Deserialize time: 0.2664s
Round: 69, Train time: 37.7640s, Encrypt+Serialize time: 1.2316s, Decrypt+Deserialize time: 0.3707s
Round: 70, Train time: 33.3038s, Encrypt+Serialize time: 0.9958s, Decrypt+Deserialize time: 0.2645s
Round: 71, Train time: 33.8445s, Encrypt+Serialize time: 1.3314s, Decrypt+Deserialize time: 0.3602s
Round: 72, Train time: 40.7591s, Encrypt+Serialize time: 0.9549s, Decrypt+Deserialize time: 0.2346s
Round: 73, Train time: 35.8111s, Encrypt+Serialize time: 1.5348s, Decrypt+Deserialize time: 0.3783s
Round: 74, Train time: 35.1587s, Encrypt+Serialize time: 1.6743s, Decrypt+Deserialize time: 0.4017s
Round: 75, Train time: 37.4606s, Encrypt+Serialize time: 1.2542s, Decrypt+Deserialize time: 0.3089s
Round: 76, Train time: 33.5907s, Encrypt+Serialize time: 1.1921s, Decrypt+Deserialize time: 0.2939s
Round: 77, Train time: 37.8618s, Encrypt+Serialize time: 1.1312s, Decrypt+Deserialize time: 0.2904s
Round: 78, Train time: 48.3974s, Encrypt+Serialize time: 1.1945s, Decrypt+Deserialize time: 0.3002s
Round: 79, Train time: 40.6058s, Encrypt+Serialize time: 1.5136s, Decrypt+Deserialize time: 0.3754s
Round: 80, Train time: 28.5741s, Encrypt+Serialize time: 1.1159s, Decrypt+Deserialize time: 0.3144s
Round: 81, Train time: 46.1591s, Encrypt+Serialize time: 1.3584s, Decrypt+Deserialize time: 0.3384s
Round: 82, Train time: 37.3152s, Encrypt+Serialize time: 1.3415s, Decrypt+Deserialize time: 0.3343s
Round: 83, Train time: 38.8530s, Encrypt+Serialize time: 1.6386s, Decrypt+Deserialize time: 0.3721s
Round: 84, Train time: 37.7902s, Encrypt+Serialize time: 1.3427s, Decrypt+Deserialize time: 0.2828s
Round: 85, Train time: 43.8054s, Encrypt+Serialize time: 1.2506s, Decrypt+Deserialize time: 0.3366s
Round: 86, Train time: 38.3142s, Encrypt+Serialize time: 1.4160s, Decrypt+Deserialize time: 0.3136s
Round: 87, Train time: 39.0603s, Encrypt+Serialize time: 1.2321s, Decrypt+Deserialize time: 0.3220s
Round: 88, Train time: 48.5291s, Encrypt+Serialize time: 1.8930s, Decrypt+Deserialize time: 0.5237s
Round: 89, Train time: 39.7944s, Encrypt+Serialize time: 1.1490s, Decrypt+Deserialize time: 0.3302s
Round: 90, Train time: 33.0279s, Encrypt+Serialize time: 1.3567s, Decrypt+Deserialize time: 0.3242s
Round: 91, Train time: 42.6598s, Encrypt+Serialize time: 1.1014s, Decrypt+Deserialize time: 0.3365s
Round: 92, Train time: 37.7328s, Encrypt+Serialize time: 1.1418s, Decrypt+Deserialize time: 0.3161s
Round: 93, Train time: 34.4858s, Encrypt+Serialize time: 1.2678s, Decrypt+Deserialize time: 0.3209s
Round: 94, Train time: 48.1631s, Encrypt+Serialize time: 1.2850s, Decrypt+Deserialize time: 0.2890s
Round: 95, Train time: 40.2296s, Encrypt+Serialize time: 1.8732s, Decrypt+Deserialize time: 0.3186s
Round: 96, Train time: 42.3348s, Encrypt+Serialize time: 1.2416s, Decrypt+Deserialize time: 0.3774s
Round: 97, Train time: 34.7221s, Encrypt+Serialize time: 1.5327s, Decrypt+Deserialize time: 0.4801s
Round: 98, Train time: 41.4148s, Encrypt+Serialize time: 1.3677s, Decrypt+Deserialize time: 0.4129s
Round: 99, Train time: 39.1386s, Encrypt+Serialize time: 1.7279s, Decrypt+Deserialize time: 0.3824s
Round: 100, Train time: 35.4901s, Encrypt+Serialize time: 1.2916s, Decrypt+Deserialize time: 0.3270s
Round: 101, Train time: 30.1936s, Encrypt+Serialize time: 0.6099s, Decrypt+Deserialize time: 0.1688s
Round: 102, Train time: 23.3978s, Encrypt+Serialize time: 0.5627s, Decrypt+Deserialize time: 0.1305s
Round: 103, Train time: 31.6877s, Encrypt+Serialize time: 0.5889s, Decrypt+Deserialize time: 0.1484s
Round: 104, Train time: 35.1316s, Encrypt+Serialize time: 0.6954s, Decrypt+Deserialize time: 0.1677s
Round: 105, Train time: 33.4719s, Encrypt+Serialize time: 0.7793s, Decrypt+Deserialize time: 0.1808s
Round: 106, Train time: 27.5165s, Encrypt+Serialize time: 0.5694s, Decrypt+Deserialize time: 0.1439s
Round: 107, Train time: 22.4074s, Encrypt+Serialize time: 0.7539s, Decrypt+Deserialize time: 0.2431s
Round: 108, Train time: 31.1521s, Encrypt+Serialize time: 0.8136s, Decrypt+Deserialize time: 0.2191s
Round: 109, Train time: 39.1246s, Encrypt+Serialize time: 0.7627s, Decrypt+Deserialize time: 0.1751s
Round: 110, Train time: 24.4942s, Encrypt+Serialize time: 0.7009s, Decrypt+Deserialize time: 0.1837s
Round: 111, Train time: 19.2957s, Encrypt+Serialize time: 0.5851s, Decrypt+Deserialize time: 0.1482s
Round: 112, Train time: 25.6888s, Encrypt+Serialize time: 0.6684s, Decrypt+Deserialize time: 0.1770s
Round: 113, Train time: 44.0866s, Encrypt+Serialize time: 0.8448s, Decrypt+Deserialize time: 0.2101s
Round: 114, Train time: 34.4851s, Encrypt+Serialize time: 0.7432s, Decrypt+Deserialize time: 0.1855s
Round: 115, Train time: 35.4247s, Encrypt+Serialize time: 0.6945s, Decrypt+Deserialize time: 0.1976s
Round: 116, Train time: 25.0483s, Encrypt+Serialize time: 0.6978s, Decrypt+Deserialize time: 0.1758s
Round: 117, Train time: 23.1885s, Encrypt+Serialize time: 0.6341s, Decrypt+Deserialize time: 0.1447s
Round: 118, Train time: 28.8760s, Encrypt+Serialize time: 0.6975s, Decrypt+Deserialize time: 0.1691s
Round: 119, Train time: 29.3161s, Encrypt+Serialize time: 0.6713s, Decrypt+Deserialize time: 0.1664s
Round: 120, Train time: 31.0380s, Encrypt+Serialize time: 0.6092s, Decrypt+Deserialize time: 0.1532s
Round: 121, Train time: 23.1942s, Encrypt+Serialize time: 0.6648s, Decrypt+Deserialize time: 0.1513s
Round: 122, Train time: 29.3834s, Encrypt+Serialize time: 0.6982s, Decrypt+Deserialize time: 0.1695s
Round: 123, Train time: 24.8172s, Encrypt+Serialize time: 0.6386s, Decrypt+Deserialize time: 0.1885s
Round: 124, Train time: 38.2217s, Encrypt+Serialize time: 0.7441s, Decrypt+Deserialize time: 0.2010s
Round: 125, Train time: 29.6213s, Encrypt+Serialize time: 0.7864s, Decrypt+Deserialize time: 0.2129s
Round: 126, Train time: 27.5506s, Encrypt+Serialize time: 0.6890s, Decrypt+Deserialize time: 0.2010s
Round: 127, Train time: 37.2112s, Encrypt+Serialize time: 0.7642s, Decrypt+Deserialize time: 0.1908s
Round: 128, Train time: 18.8555s, Encrypt+Serialize time: 0.6777s, Decrypt+Deserialize time: 0.1764s
Round: 129, Train time: 33.7565s, Encrypt+Serialize time: 0.7941s, Decrypt+Deserialize time: 0.1938s
Round: 130, Train time: 21.6087s, Encrypt+Serialize time: 0.5705s, Decrypt+Deserialize time: 0.1443s
Round: 131, Train time: 27.7369s, Encrypt+Serialize time: 0.6168s, Decrypt+Deserialize time: 0.1551s
Round: 132, Train time: 34.1865s, Encrypt+Serialize time: 0.6641s, Decrypt+Deserialize time: 0.1732s
Round: 133, Train time: 32.2013s, Encrypt+Serialize time: 0.7448s, Decrypt+Deserialize time: 0.1730s
Round: 134, Train time: 33.1176s, Encrypt+Serialize time: 0.7374s, Decrypt+Deserialize time: 0.1977s
Round: 135, Train time: 26.6892s, Encrypt+Serialize time: 0.7360s, Decrypt+Deserialize time: 0.1950s
Round: 136, Train time: 31.6198s, Encrypt+Serialize time: 0.7058s, Decrypt+Deserialize time: 0.1830s
Round: 137, Train time: 31.5998s, Encrypt+Serialize time: 0.7608s, Decrypt+Deserialize time: 0.2183s
Round: 138, Train time: 25.5455s, Encrypt+Serialize time: 0.6923s, Decrypt+Deserialize time: 0.1918s
Round: 139, Train time: 35.9226s, Encrypt+Serialize time: 0.7703s, Decrypt+Deserialize time: 0.1720s
Round: 140, Train time: 24.1275s, Encrypt+Serialize time: 0.5937s, Decrypt+Deserialize time: 0.1697s
Round: 141, Train time: 28.6736s, Encrypt+Serialize time: 0.7531s, Decrypt+Deserialize time: 0.1763s
Round: 142, Train time: 29.0887s, Encrypt+Serialize time: 0.5926s, Decrypt+Deserialize time: 0.1520s
Round: 143, Train time: 36.3034s, Encrypt+Serialize time: 0.7412s, Decrypt+Deserialize time: 0.1897s
Round: 144, Train time: 29.5109s, Encrypt+Serialize time: 0.7220s, Decrypt+Deserialize time: 0.1650s
Round: 145, Train time: 31.5032s, Encrypt+Serialize time: 0.7166s, Decrypt+Deserialize time: 0.1646s
Round: 146, Train time: 26.7464s, Encrypt+Serialize time: 0.6579s, Decrypt+Deserialize time: 0.1839s
Round: 147, Train time: 30.7649s, Encrypt+Serialize time: 0.5795s, Decrypt+Deserialize time: 0.1430s
Round: 148, Train time: 33.3741s, Encrypt+Serialize time: 0.6633s, Decrypt+Deserialize time: 0.1978s
Round: 149, Train time: 29.8953s, Encrypt+Serialize time: 0.6503s, Decrypt+Deserialize time: 0.1790s
Round: 150, Train time: 18.2252s, Encrypt+Serialize time: 0.5501s, Decrypt+Deserialize time: 0.1430s
Round: 151, Train time: 18.7178s, Encrypt+Serialize time: 0.5582s, Decrypt+Deserialize time: 0.1356s
Round: 152, Train time: 28.6541s, Encrypt+Serialize time: 0.5875s, Decrypt+Deserialize time: 0.1349s
Round: 153, Train time: 28.7797s, Encrypt+Serialize time: 0.7147s, Decrypt+Deserialize time: 0.1503s
Round: 154, Train time: 17.2008s, Encrypt+Serialize time: 0.6009s, Decrypt+Deserialize time: 0.1707s
Round: 155, Train time: 26.7417s, Encrypt+Serialize time: 0.6700s, Decrypt+Deserialize time: 0.1337s
Round: 156, Train time: 25.8195s, Encrypt+Serialize time: 0.6559s, Decrypt+Deserialize time: 0.1677s
Round: 157, Train time: 15.0118s, Encrypt+Serialize time: 0.5592s, Decrypt+Deserialize time: 0.1358s
Round: 158, Train time: 28.0674s, Encrypt+Serialize time: 0.5655s, Decrypt+Deserialize time: 0.1405s
Round: 159, Train time: 31.9695s, Encrypt+Serialize time: 0.6406s, Decrypt+Deserialize time: 0.1596s
Round: 160, Train time: 19.3874s, Encrypt+Serialize time: 0.5470s, Decrypt+Deserialize time: 0.1426s
Round: 161, Train time: 30.4687s, Encrypt+Serialize time: 0.7472s, Decrypt+Deserialize time: 0.1700s
Round: 162, Train time: 19.5274s, Encrypt+Serialize time: 0.5448s, Decrypt+Deserialize time: 0.1355s
Round: 163, Train time: 32.4670s, Encrypt+Serialize time: 0.6392s, Decrypt+Deserialize time: 0.1660s
Round: 164, Train time: 20.7608s, Encrypt+Serialize time: 0.5777s, Decrypt+Deserialize time: 0.1404s
Round: 165, Train time: 37.4965s, Encrypt+Serialize time: 0.6840s, Decrypt+Deserialize time: 0.1476s
Round: 166, Train time: 32.8819s, Encrypt+Serialize time: 0.5415s, Decrypt+Deserialize time: 0.1393s
