Round: 1, Train time: 41.4586s, Encrypt+Serialize time: 1.1464s, Decrypt+Deserialize time: 0.2996s
Round: 2, Train time: 55.0901s, Encrypt+Serialize time: 1.0886s, Decrypt+Deserialize time: 0.2999s
Round: 3, Train time: 56.9733s, Encrypt+Serialize time: 1.5020s, Decrypt+Deserialize time: 0.3918s
Round: 4, Train time: 57.3883s, Encrypt+Serialize time: 1.0180s, Decrypt+Deserialize time: 0.3109s
Round: 5, Train time: 61.9657s, Encrypt+Serialize time: 1.5028s, Decrypt+Deserialize time: 0.3344s
Round: 6, Train time: 51.3193s, Encrypt+Serialize time: 1.1399s, Decrypt+Deserialize time: 0.2809s
Round: 7, Train time: 45.6257s, Encrypt+Serialize time: 1.0427s, Decrypt+Deserialize time: 0.3768s
Round: 8, Train time: 62.0601s, Encrypt+Serialize time: 1.0049s, Decrypt+Deserialize time: 0.2653s
Round: 9, Train time: 44.1511s, Encrypt+Serialize time: 1.6243s, Decrypt+Deserialize time: 0.4148s
Round: 10, Train time: 48.6990s, Encrypt+Serialize time: 1.1399s, Decrypt+Deserialize time: 0.2716s
Round: 11, Train time: 50.6688s, Encrypt+Serialize time: 1.0655s, Decrypt+Deserialize time: 0.2943s
Round: 12, Train time: 59.9866s, Encrypt+Serialize time: 1.1104s, Decrypt+Deserialize time: 0.2764s
Round: 13, Train time: 45.3977s, Encrypt+Serialize time: 1.4295s, Decrypt+Deserialize time: 0.4285s
Round: 14, Train time: 53.4145s, Encrypt+Serialize time: 1.0354s, Decrypt+Deserialize time: 0.2702s
Round: 15, Train time: 60.0002s, Encrypt+Serialize time: 1.2472s, Decrypt+Deserialize time: 0.3123s
Round: 16, Train time: 56.6578s, Encrypt+Serialize time: 1.5125s, Decrypt+Deserialize time: 0.3794s
Round: 17, Train time: 44.8154s, Encrypt+Serialize time: 1.2441s, Decrypt+Deserialize time: 0.2757s
Round: 18, Train time: 43.7278s, Encrypt+Serialize time: 1.4149s, Decrypt+Deserialize time: 0.4121s
Round: 19, Train time: 45.0250s, Encrypt+Serialize time: 1.2295s, Decrypt+Deserialize time: 0.3069s
Round: 20, Train time: 48.3431s, Encrypt+Serialize time: 1.6289s, Decrypt+Deserialize time: 0.4210s
Round: 21, Train time: 43.4337s, Encrypt+Serialize time: 1.3310s, Decrypt+Deserialize time: 0.3608s
Round: 22, Train time: 55.3133s, Encrypt+Serialize time: 1.8018s, Decrypt+Deserialize time: 0.4790s
Round: 23, Train time: 52.6660s, Encrypt+Serialize time: 1.3158s, Decrypt+Deserialize time: 0.3442s
Round: 24, Train time: 54.8822s, Encrypt+Serialize time: 1.9020s, Decrypt+Deserialize time: 0.5509s
Round: 25, Train time: 55.0430s, Encrypt+Serialize time: 2.1289s, Decrypt+Deserialize time: 0.5349s
Round: 26, Train time: 46.0797s, Encrypt+Serialize time: 1.3121s, Decrypt+Deserialize time: 0.3391s
Round: 27, Train time: 50.6136s, Encrypt+Serialize time: 1.2567s, Decrypt+Deserialize time: 0.3012s
Round: 28, Train time: 51.5918s, Encrypt+Serialize time: 1.2977s, Decrypt+Deserialize time: 0.3636s
Round: 29, Train time: 54.2303s, Encrypt+Serialize time: 1.2895s, Decrypt+Deserialize time: 0.3361s
Round: 30, Train time: 60.0357s, Encrypt+Serialize time: 1.3199s, Decrypt+Deserialize time: 0.3260s
Round: 31, Train time: 48.0961s, Encrypt+Serialize time: 1.5026s, Decrypt+Deserialize time: 0.3941s
Round: 32, Train time: 49.6622s, Encrypt+Serialize time: 1.3761s, Decrypt+Deserialize time: 0.3585s
Round: 33, Train time: 48.7672s, Encrypt+Serialize time: 1.3154s, Decrypt+Deserialize time: 0.3325s
Round: 34, Train time: 57.5601s, Encrypt+Serialize time: 1.5509s, Decrypt+Deserialize time: 0.4133s
