Round: 1, Train time: 30.6977s, Encrypt+Serialize time: 0.5530s, Decrypt+Deserialize time: 0.1453s
Round: 2, Train time: 32.0713s, Encrypt+Serialize time: 0.5485s, Decrypt+Deserialize time: 0.1391s
Round: 3, Train time: 35.0099s, Encrypt+Serialize time: 0.5460s, Decrypt+Deserialize time: 0.1382s
Round: 4, Train time: 13.5544s, Encrypt+Serialize time: 0.5046s, Decrypt+Deserialize time: 0.1231s
Round: 5, Train time: 19.7827s, Encrypt+Serialize time: 0.5168s, Decrypt+Deserialize time: 0.1277s
Round: 6, Train time: 37.1354s, Encrypt+Serialize time: 0.5539s, Decrypt+Deserialize time: 0.1401s
Round: 7, Train time: 27.9121s, Encrypt+Serialize time: 0.5919s, Decrypt+Deserialize time: 0.1378s
Round: 8, Train time: 19.3859s, Encrypt+Serialize time: 0.5226s, Decrypt+Deserialize time: 0.1303s
Round: 9, Train time: 31.3899s, Encrypt+Serialize time: 0.5295s, Decrypt+Deserialize time: 0.1326s
Round: 10, Train time: 21.2105s, Encrypt+Serialize time: 0.5231s, Decrypt+Deserialize time: 0.1355s
Round: 11, Train time: 19.3722s, Encrypt+Serialize time: 0.5447s, Decrypt+Deserialize time: 0.1298s
Round: 12, Train time: 41.1573s, Encrypt+Serialize time: 0.5102s, Decrypt+Deserialize time: 0.1281s
Round: 13, Train time: 34.1454s, Encrypt+Serialize time: 0.5712s, Decrypt+Deserialize time: 0.1529s
Round: 14, Train time: 32.6143s, Encrypt+Serialize time: 0.6322s, Decrypt+Deserialize time: 0.1808s
Round: 15, Train time: 31.5202s, Encrypt+Serialize time: 0.5177s, Decrypt+Deserialize time: 0.1279s
Round: 16, Train time: 14.1262s, Encrypt+Serialize time: 0.4798s, Decrypt+Deserialize time: 0.1226s
Round: 17, Train time: 29.7848s, Encrypt+Serialize time: 0.5194s, Decrypt+Deserialize time: 0.1365s
Round: 18, Train time: 38.2901s, Encrypt+Serialize time: 0.5169s, Decrypt+Deserialize time: 0.1812s
Round: 19, Train time: 16.8036s, Encrypt+Serialize time: 0.5881s, Decrypt+Deserialize time: 0.1252s
