Round: 1, Train time: 8.8919s, Encrypt+Serialize time: 0.5131s, Decrypt+Deserialize time: 0.1169s
Round: 2, Train time: 23.5203s, Encrypt+Serialize time: 0.5365s, Decrypt+Deserialize time: 0.1321s
Round: 3, Train time: 16.9409s, Encrypt+Serialize time: 0.5268s, Decrypt+Deserialize time: 0.1289s
Round: 4, Train time: 30.5079s, Encrypt+Serialize time: 0.5876s, Decrypt+Deserialize time: 0.1397s
Round: 5, Train time: 29.3136s, Encrypt+Serialize time: 0.5184s, Decrypt+Deserialize time: 0.1382s
Round: 6, Train time: 29.9779s, Encrypt+Serialize time: 0.5333s, Decrypt+Deserialize time: 0.1518s
Round: 7, Train time: 12.4678s, Encrypt+Serialize time: 0.5457s, Decrypt+Deserialize time: 0.1266s
Round: 8, Train time: 29.0627s, Encrypt+Serialize time: 0.5402s, Decrypt+Deserialize time: 0.1513s
Round: 9, Train time: 23.0151s, Encrypt+Serialize time: 0.5192s, Decrypt+Deserialize time: 0.1255s
Round: 10, Train time: 31.7493s, Encrypt+Serialize time: 0.5339s, Decrypt+Deserialize time: 0.1440s
Round: 11, Train time: 27.5238s, Encrypt+Serialize time: 0.5222s, Decrypt+Deserialize time: 0.1295s
Round: 12, Train time: 35.6847s, Encrypt+Serialize time: 0.5223s, Decrypt+Deserialize time: 0.1344s
Round: 13, Train time: 26.6266s, Encrypt+Serialize time: 0.5397s, Decrypt+Deserialize time: 0.1426s
Round: 14, Train time: 27.5777s, Encrypt+Serialize time: 0.5232s, Decrypt+Deserialize time: 0.1460s
Round: 15, Train time: 18.8066s, Encrypt+Serialize time: 0.5249s, Decrypt+Deserialize time: 0.1250s
Round: 16, Train time: 30.7704s, Encrypt+Serialize time: 0.6403s, Decrypt+Deserialize time: 0.1454s
Round: 17, Train time: 28.4819s, Encrypt+Serialize time: 0.5934s, Decrypt+Deserialize time: 0.1519s
Round: 18, Train time: 23.1101s, Encrypt+Serialize time: 0.5749s, Decrypt+Deserialize time: 0.1479s
Round: 19, Train time: 19.9089s, Encrypt+Serialize time: 0.5187s, Decrypt+Deserialize time: 0.1237s
Round: 20, Train time: 22.3928s, Encrypt+Serialize time: 0.5073s, Decrypt+Deserialize time: 0.1479s
Round: 21, Train time: 23.2174s, Encrypt+Serialize time: 0.5298s, Decrypt+Deserialize time: 0.1393s
Round: 22, Train time: 26.4662s, Encrypt+Serialize time: 0.5514s, Decrypt+Deserialize time: 0.1434s
Round: 23, Train time: 21.3074s, Encrypt+Serialize time: 0.5337s, Decrypt+Deserialize time: 0.1302s
Round: 24, Train time: 34.0070s, Encrypt+Serialize time: 0.7110s, Decrypt+Deserialize time: 0.1765s
Round: 25, Train time: 14.4527s, Encrypt+Serialize time: 0.5124s, Decrypt+Deserialize time: 0.1277s
Round: 26, Train time: 36.2135s, Encrypt+Serialize time: 0.5226s, Decrypt+Deserialize time: 0.1360s
Round: 27, Train time: 31.4917s, Encrypt+Serialize time: 0.5581s, Decrypt+Deserialize time: 0.1301s
Round: 28, Train time: 17.9706s, Encrypt+Serialize time: 0.5297s, Decrypt+Deserialize time: 0.1283s
Round: 29, Train time: 36.6341s, Encrypt+Serialize time: 0.5906s, Decrypt+Deserialize time: 0.1551s
Round: 30, Train time: 25.7503s, Encrypt+Serialize time: 0.5164s, Decrypt+Deserialize time: 0.1387s
Round: 31, Train time: 13.7324s, Encrypt+Serialize time: 0.6002s, Decrypt+Deserialize time: 0.1255s
Round: 32, Train time: 22.6144s, Encrypt+Serialize time: 0.5158s, Decrypt+Deserialize time: 0.1278s
