Round: 1, Train time: 9.2148s, Encrypt+Serialize time: 0.5179s, Decrypt+Deserialize time: 0.1400s
Round: 2, Train time: 16.5846s, Encrypt+Serialize time: 0.5309s, Decrypt+Deserialize time: 0.1370s
Round: 3, Train time: 16.4355s, Encrypt+Serialize time: 0.5095s, Decrypt+Deserialize time: 0.1240s
Round: 4, Train time: 23.9677s, Encrypt+Serialize time: 0.5816s, Decrypt+Deserialize time: 0.1505s
Round: 5, Train time: 18.2991s, Encrypt+Serialize time: 0.5492s, Decrypt+Deserialize time: 0.1342s
Round: 6, Train time: 10.7027s, Encrypt+Serialize time: 0.5545s, Decrypt+Deserialize time: 0.1396s
Round: 7, Train time: 7.8399s, Encrypt+Serialize time: 0.5183s, Decrypt+Deserialize time: 0.1302s
Round: 8, Train time: 14.4828s, Encrypt+Serialize time: 0.5470s, Decrypt+Deserialize time: 0.1299s
Round: 9, Train time: 16.7067s, Encrypt+Serialize time: 0.5255s, Decrypt+Deserialize time: 0.1325s
Round: 10, Train time: 21.5610s, Encrypt+Serialize time: 0.5761s, Decrypt+Deserialize time: 0.1431s
Round: 11, Train time: 18.4166s, Encrypt+Serialize time: 0.5683s, Decrypt+Deserialize time: 0.1582s
Round: 12, Train time: 24.9940s, Encrypt+Serialize time: 0.6566s, Decrypt+Deserialize time: 0.1309s
Round: 13, Train time: 18.5984s, Encrypt+Serialize time: 0.5774s, Decrypt+Deserialize time: 0.1454s
Round: 14, Train time: 18.0929s, Encrypt+Serialize time: 0.5333s, Decrypt+Deserialize time: 0.1419s
Round: 15, Train time: 13.9593s, Encrypt+Serialize time: 0.5394s, Decrypt+Deserialize time: 0.1379s
Round: 16, Train time: 13.3514s, Encrypt+Serialize time: 0.5106s, Decrypt+Deserialize time: 0.1277s
Round: 17, Train time: 13.4578s, Encrypt+Serialize time: 0.6125s, Decrypt+Deserialize time: 0.1258s
Round: 18, Train time: 24.1881s, Encrypt+Serialize time: 0.5494s, Decrypt+Deserialize time: 0.1507s
Round: 19, Train time: 15.0898s, Encrypt+Serialize time: 0.5634s, Decrypt+Deserialize time: 0.1433s
Round: 20, Train time: 15.9328s, Encrypt+Serialize time: 0.4995s, Decrypt+Deserialize time: 0.1300s
Round: 21, Train time: 14.3970s, Encrypt+Serialize time: 0.5670s, Decrypt+Deserialize time: 0.1380s
Round: 22, Train time: 21.4641s, Encrypt+Serialize time: 0.5521s, Decrypt+Deserialize time: 0.1362s
Round: 23, Train time: 18.2449s, Encrypt+Serialize time: 0.5407s, Decrypt+Deserialize time: 0.1338s
Round: 24, Train time: 13.8760s, Encrypt+Serialize time: 0.5172s, Decrypt+Deserialize time: 0.1255s
Round: 25, Train time: 13.5194s, Encrypt+Serialize time: 0.5038s, Decrypt+Deserialize time: 0.1300s
Round: 26, Train time: 14.1237s, Encrypt+Serialize time: 0.5127s, Decrypt+Deserialize time: 0.1379s
Round: 27, Train time: 13.7980s, Encrypt+Serialize time: 0.5451s, Decrypt+Deserialize time: 0.1410s
Round: 28, Train time: 26.1004s, Encrypt+Serialize time: 0.5529s, Decrypt+Deserialize time: 0.1321s
Round: 29, Train time: 24.2911s, Encrypt+Serialize time: 0.5887s, Decrypt+Deserialize time: 0.1615s
Round: 30, Train time: 11.0094s, Encrypt+Serialize time: 0.5523s, Decrypt+Deserialize time: 0.1253s
Round: 31, Train time: 21.3325s, Encrypt+Serialize time: 0.5461s, Decrypt+Deserialize time: 0.1409s
Round: 32, Train time: 16.7042s, Encrypt+Serialize time: 0.6167s, Decrypt+Deserialize time: 0.1498s
Round: 33, Train time: 14.3485s, Encrypt+Serialize time: 0.6029s, Decrypt+Deserialize time: 0.1720s
