Round: 1, Train time: 21.9380s, Encrypt+Serialize time: 0.5600s, Decrypt+Deserialize time: 0.1342s
Round: 2, Train time: 20.3401s, Encrypt+Serialize time: 0.5057s, Decrypt+Deserialize time: 0.1288s
Round: 3, Train time: 32.7415s, Encrypt+Serialize time: 0.5870s, Decrypt+Deserialize time: 0.1398s
Round: 4, Train time: 28.9492s, Encrypt+Serialize time: 0.5369s, Decrypt+Deserialize time: 0.1411s
Round: 5, Train time: 27.0818s, Encrypt+Serialize time: 0.6524s, Decrypt+Deserialize time: 0.1470s
Round: 6, Train time: 23.8159s, Encrypt+Serialize time: 0.5639s, Decrypt+Deserialize time: 0.1541s
Round: 7, Train time: 31.6149s, Encrypt+Serialize time: 0.5500s, Decrypt+Deserialize time: 0.1310s
Round: 8, Train time: 29.4429s, Encrypt+Serialize time: 0.5599s, Decrypt+Deserialize time: 0.1311s
Round: 9, Train time: 18.9001s, Encrypt+Serialize time: 0.5225s, Decrypt+Deserialize time: 0.1296s
Round: 10, Train time: 11.3076s, Encrypt+Serialize time: 0.5033s, Decrypt+Deserialize time: 0.1239s
Round: 11, Train time: 22.9763s, Encrypt+Serialize time: 0.5126s, Decrypt+Deserialize time: 0.1363s
Round: 12, Train time: 17.9066s, Encrypt+Serialize time: 0.5947s, Decrypt+Deserialize time: 0.1376s
Round: 13, Train time: 36.1136s, Encrypt+Serialize time: 0.5581s, Decrypt+Deserialize time: 0.1316s
Round: 14, Train time: 32.8131s, Encrypt+Serialize time: 0.5531s, Decrypt+Deserialize time: 0.1558s
Round: 15, Train time: 28.1262s, Encrypt+Serialize time: 0.5768s, Decrypt+Deserialize time: 0.1643s
Round: 16, Train time: 15.1143s, Encrypt+Serialize time: 0.5135s, Decrypt+Deserialize time: 0.1416s
Round: 17, Train time: 25.9387s, Encrypt+Serialize time: 0.5306s, Decrypt+Deserialize time: 0.1510s
Round: 18, Train time: 21.1845s, Encrypt+Serialize time: 0.5042s, Decrypt+Deserialize time: 0.1274s
Round: 19, Train time: 25.4390s, Encrypt+Serialize time: 0.5342s, Decrypt+Deserialize time: 0.1426s
Round: 20, Train time: 31.5576s, Encrypt+Serialize time: 0.5690s, Decrypt+Deserialize time: 0.1483s
Round: 21, Train time: 17.4317s, Encrypt+Serialize time: 0.5817s, Decrypt+Deserialize time: 0.1466s
Round: 22, Train time: 31.1352s, Encrypt+Serialize time: 0.5451s, Decrypt+Deserialize time: 0.1272s
Round: 23, Train time: 30.8887s, Encrypt+Serialize time: 0.5448s, Decrypt+Deserialize time: 0.1340s
Round: 24, Train time: 33.2236s, Encrypt+Serialize time: 0.5327s, Decrypt+Deserialize time: 0.1565s
Round: 25, Train time: 24.6934s, Encrypt+Serialize time: 0.5379s, Decrypt+Deserialize time: 0.1359s
Round: 26, Train time: 28.2319s, Encrypt+Serialize time: 0.6298s, Decrypt+Deserialize time: 0.1531s
Round: 27, Train time: 18.6599s, Encrypt+Serialize time: 0.5333s, Decrypt+Deserialize time: 0.1676s
Round: 28, Train time: 26.0479s, Encrypt+Serialize time: 0.5730s, Decrypt+Deserialize time: 0.1434s
Round: 29, Train time: 25.9111s, Encrypt+Serialize time: 0.5039s, Decrypt+Deserialize time: 0.1359s
Round: 30, Train time: 25.7927s, Encrypt+Serialize time: 0.5762s, Decrypt+Deserialize time: 0.1244s
Round: 31, Train time: 32.1463s, Encrypt+Serialize time: 0.5887s, Decrypt+Deserialize time: 0.1566s
Round: 32, Train time: 21.8266s, Encrypt+Serialize time: 0.5540s, Decrypt+Deserialize time: 0.1323s
Round: 33, Train time: 33.7332s, Encrypt+Serialize time: 0.5361s, Decrypt+Deserialize time: 0.1649s
Round: 34, Train time: 30.3606s, Encrypt+Serialize time: 0.5852s, Decrypt+Deserialize time: 0.1373s
Round: 35, Train time: 40.5921s, Encrypt+Serialize time: 0.5438s, Decrypt+Deserialize time: 0.1433s
Round: 36, Train time: 32.4272s, Encrypt+Serialize time: 0.5102s, Decrypt+Deserialize time: 0.1363s
Round: 37, Train time: 20.0350s, Encrypt+Serialize time: 0.5078s, Decrypt+Deserialize time: 0.1260s
Round: 38, Train time: 29.5866s, Encrypt+Serialize time: 0.6040s, Decrypt+Deserialize time: 0.1355s
