Round: 1, Train time: 10.3056s, Encrypt+Serialize time: 0.5841s, Decrypt+Deserialize time: 0.1310s
Round: 2, Train time: 21.5046s, Encrypt+Serialize time: 0.5611s, Decrypt+Deserialize time: 0.1409s
Round: 3, Train time: 20.4499s, Encrypt+Serialize time: 0.5206s, Decrypt+Deserialize time: 0.1273s
Round: 4, Train time: 24.6801s, Encrypt+Serialize time: 0.5445s, Decrypt+Deserialize time: 0.1587s
Round: 5, Train time: 27.7447s, Encrypt+Serialize time: 0.5690s, Decrypt+Deserialize time: 0.1470s
Round: 6, Train time: 26.3489s, Encrypt+Serialize time: 0.5302s, Decrypt+Deserialize time: 0.1281s
Round: 7, Train time: 27.1705s, Encrypt+Serialize time: 0.5554s, Decrypt+Deserialize time: 0.1436s
Round: 8, Train time: 19.9349s, Encrypt+Serialize time: 0.5201s, Decrypt+Deserialize time: 0.1370s
Round: 9, Train time: 28.8550s, Encrypt+Serialize time: 0.5349s, Decrypt+Deserialize time: 0.1440s
Round: 10, Train time: 33.0308s, Encrypt+Serialize time: 0.5353s, Decrypt+Deserialize time: 0.1442s
Round: 11, Train time: 13.7401s, Encrypt+Serialize time: 0.5446s, Decrypt+Deserialize time: 0.1382s
Round: 12, Train time: 25.5874s, Encrypt+Serialize time: 0.5484s, Decrypt+Deserialize time: 0.1425s
Round: 13, Train time: 15.5279s, Encrypt+Serialize time: 0.5410s, Decrypt+Deserialize time: 0.1223s
Round: 14, Train time: 29.8637s, Encrypt+Serialize time: 0.5816s, Decrypt+Deserialize time: 0.1670s
Round: 15, Train time: 23.5832s, Encrypt+Serialize time: 0.4931s, Decrypt+Deserialize time: 0.1223s
Round: 16, Train time: 31.3956s, Encrypt+Serialize time: 0.5839s, Decrypt+Deserialize time: 0.1337s
Round: 17, Train time: 23.7221s, Encrypt+Serialize time: 0.5389s, Decrypt+Deserialize time: 0.1295s
Round: 18, Train time: 21.7871s, Encrypt+Serialize time: 0.5232s, Decrypt+Deserialize time: 0.1489s
Round: 19, Train time: 22.3328s, Encrypt+Serialize time: 0.5607s, Decrypt+Deserialize time: 0.1372s
Round: 20, Train time: 22.1013s, Encrypt+Serialize time: 0.5439s, Decrypt+Deserialize time: 0.1416s
Round: 21, Train time: 22.5060s, Encrypt+Serialize time: 0.5359s, Decrypt+Deserialize time: 0.1367s
Round: 22, Train time: 25.1803s, Encrypt+Serialize time: 0.5688s, Decrypt+Deserialize time: 0.1258s
Round: 23, Train time: 35.4121s, Encrypt+Serialize time: 0.5751s, Decrypt+Deserialize time: 0.1515s
Round: 24, Train time: 10.7934s, Encrypt+Serialize time: 0.4854s, Decrypt+Deserialize time: 0.1194s
Round: 25, Train time: 12.8437s, Encrypt+Serialize time: 0.5838s, Decrypt+Deserialize time: 0.1305s
Round: 26, Train time: 15.5074s, Encrypt+Serialize time: 0.5109s, Decrypt+Deserialize time: 0.1282s
Round: 27, Train time: 31.0683s, Encrypt+Serialize time: 0.5577s, Decrypt+Deserialize time: 0.1627s
Round: 28, Train time: 19.3983s, Encrypt+Serialize time: 0.5119s, Decrypt+Deserialize time: 0.1367s
Round: 29, Train time: 17.3447s, Encrypt+Serialize time: 0.5209s, Decrypt+Deserialize time: 0.1371s
Round: 30, Train time: 17.9911s, Encrypt+Serialize time: 0.5195s, Decrypt+Deserialize time: 0.1400s
Round: 31, Train time: 17.9591s, Encrypt+Serialize time: 0.5737s, Decrypt+Deserialize time: 0.1426s
Round: 32, Train time: 23.8913s, Encrypt+Serialize time: 0.5625s, Decrypt+Deserialize time: 0.1637s
Round: 33, Train time: 32.2114s, Encrypt+Serialize time: 0.6036s, Decrypt+Deserialize time: 0.1721s
Round: 34, Train time: 21.7450s, Encrypt+Serialize time: 0.5196s, Decrypt+Deserialize time: 0.1368s
Round: 35, Train time: 31.6400s, Encrypt+Serialize time: 0.5263s, Decrypt+Deserialize time: 0.1362s
Round: 36, Train time: 35.1190s, Encrypt+Serialize time: 0.5639s, Decrypt+Deserialize time: 0.1477s
Round: 37, Train time: 25.7066s, Encrypt+Serialize time: 0.5335s, Decrypt+Deserialize time: 0.1324s
Round: 38, Train time: 30.4944s, Encrypt+Serialize time: 0.6874s, Decrypt+Deserialize time: 0.1372s
Round: 39, Train time: 20.1750s, Encrypt+Serialize time: 0.5252s, Decrypt+Deserialize time: 0.1331s
Round: 40, Train time: 17.1941s, Encrypt+Serialize time: 0.5393s, Decrypt+Deserialize time: 0.1249s
Round: 41, Train time: 32.9881s, Encrypt+Serialize time: 0.5339s, Decrypt+Deserialize time: 0.1313s
Round: 42, Train time: 26.5828s, Encrypt+Serialize time: 0.5043s, Decrypt+Deserialize time: 0.1254s
Round: 43, Train time: 27.8711s, Encrypt+Serialize time: 0.5244s, Decrypt+Deserialize time: 0.1278s
Round: 44, Train time: 25.5096s, Encrypt+Serialize time: 0.5256s, Decrypt+Deserialize time: 0.1331s
Round: 45, Train time: 19.3372s, Encrypt+Serialize time: 0.4956s, Decrypt+Deserialize time: 0.1228s
Round: 46, Train time: 32.9197s, Encrypt+Serialize time: 0.5130s, Decrypt+Deserialize time: 0.1273s
Round: 47, Train time: 18.2642s, Encrypt+Serialize time: 0.5039s, Decrypt+Deserialize time: 0.1382s
Round: 48, Train time: 24.8571s, Encrypt+Serialize time: 0.5235s, Decrypt+Deserialize time: 0.1394s
Round: 49, Train time: 30.2765s, Encrypt+Serialize time: 0.5415s, Decrypt+Deserialize time: 0.1365s
Round: 50, Train time: 35.6921s, Encrypt+Serialize time: 0.5554s, Decrypt+Deserialize time: 0.1308s
Round: 51, Train time: 37.3218s, Encrypt+Serialize time: 0.5634s, Decrypt+Deserialize time: 0.1316s
Round: 52, Train time: 26.5751s, Encrypt+Serialize time: 0.5490s, Decrypt+Deserialize time: 0.1543s
Round: 53, Train time: 24.5861s, Encrypt+Serialize time: 0.5857s, Decrypt+Deserialize time: 0.1584s
Round: 54, Train time: 18.8488s, Encrypt+Serialize time: 0.6132s, Decrypt+Deserialize time: 0.1412s
Round: 55, Train time: 27.3452s, Encrypt+Serialize time: 0.5192s, Decrypt+Deserialize time: 0.1406s
Round: 56, Train time: 22.9666s, Encrypt+Serialize time: 0.5854s, Decrypt+Deserialize time: 0.1514s
Round: 57, Train time: 15.9149s, Encrypt+Serialize time: 0.5272s, Decrypt+Deserialize time: 0.1302s
Round: 58, Train time: 14.2056s, Encrypt+Serialize time: 0.5126s, Decrypt+Deserialize time: 0.1458s
Round: 59, Train time: 29.1617s, Encrypt+Serialize time: 0.6121s, Decrypt+Deserialize time: 0.1314s
Round: 60, Train time: 32.3890s, Encrypt+Serialize time: 0.5358s, Decrypt+Deserialize time: 0.1227s
Round: 61, Train time: 13.7950s, Encrypt+Serialize time: 0.5439s, Decrypt+Deserialize time: 0.1693s
Round: 62, Train time: 25.7819s, Encrypt+Serialize time: 0.8638s, Decrypt+Deserialize time: 0.1405s
Round: 63, Train time: 23.6166s, Encrypt+Serialize time: 0.5593s, Decrypt+Deserialize time: 0.1357s
Round: 64, Train time: 29.3091s, Encrypt+Serialize time: 0.6051s, Decrypt+Deserialize time: 0.1462s
Round: 65, Train time: 28.1229s, Encrypt+Serialize time: 0.5232s, Decrypt+Deserialize time: 0.1357s
Round: 66, Train time: 27.9627s, Encrypt+Serialize time: 0.5743s, Decrypt+Deserialize time: 0.1415s
Round: 67, Train time: 25.6338s, Encrypt+Serialize time: 0.5289s, Decrypt+Deserialize time: 0.1337s
Round: 68, Train time: 27.3452s, Encrypt+Serialize time: 0.6544s, Decrypt+Deserialize time: 0.1640s
Round: 69, Train time: 23.6025s, Encrypt+Serialize time: 0.8140s, Decrypt+Deserialize time: 0.1581s
Round: 70, Train time: 31.3956s, Encrypt+Serialize time: 0.5691s, Decrypt+Deserialize time: 0.1557s
Round: 71, Train time: 15.6563s, Encrypt+Serialize time: 0.5678s, Decrypt+Deserialize time: 0.1467s
Round: 72, Train time: 31.7183s, Encrypt+Serialize time: 0.6053s, Decrypt+Deserialize time: 0.1616s
Round: 73, Train time: 24.3348s, Encrypt+Serialize time: 0.5608s, Decrypt+Deserialize time: 0.1263s
Round: 74, Train time: 33.8509s, Encrypt+Serialize time: 0.5404s, Decrypt+Deserialize time: 0.1348s
Round: 75, Train time: 24.4776s, Encrypt+Serialize time: 0.5642s, Decrypt+Deserialize time: 0.1413s
Round: 76, Train time: 25.1370s, Encrypt+Serialize time: 0.5865s, Decrypt+Deserialize time: 0.1670s
Round: 77, Train time: 34.0856s, Encrypt+Serialize time: 0.6036s, Decrypt+Deserialize time: 0.1602s
Round: 78, Train time: 32.2102s, Encrypt+Serialize time: 0.5438s, Decrypt+Deserialize time: 0.1378s
