Deserialize time: 0.2035s, Aggregation+Serialization time: 0.2608s 
Deserialize time: 0.2048s, Aggregation+Serialization time: 0.0708s 
Deserialize time: 0.2155s, Aggregation+Serialization time: 0.0885s 
Deserialize time: 0.0528s, Aggregation+Serialization time: 0.0833s 
Deserialize time: 0.2203s, Aggregation+Serialization time: 0.0739s 
Deserialize time: 0.2419s, Aggregation+Serialization time: 0.0833s 
Deserialize time: 0.2212s, Aggregation+Serialization time: 0.0776s 
Deserialize time: 0.0520s, Aggregation+Serialization time: 0.0730s 
Deserialize time: 0.2256s, Aggregation+Serialization time: 0.0851s 
Deserialize time: 0.0531s, Aggregation+Serialization time: 0.0832s 
Deserialize time: 0.0606s, Aggregation+Serialization time: 0.0802s 
Deserialize time: 0.0555s, Aggregation+Serialization time: 0.0716s 
Deserialize time: 0.0514s, Aggregation+Serialization time: 0.0788s 
Deserialize time: 0.2173s, Aggregation+Serialization time: 0.0756s 
Deserialize time: 0.0540s, Aggregation+Serialization time: 0.0717s 
Deserialize time: 0.0510s, Aggregation+Serialization time: 0.0743s 
Deserialize time: 0.0513s, Aggregation+Serialization time: 0.0717s 
Deserialize time: 0.2250s, Aggregation+Serialization time: 0.1426s 
Deserialize time: 0.0511s, Aggregation+Serialization time: 0.0723s 
Deserialize time: 0.0508s, Aggregation+Serialization time: 0.1072s 
Deserialize time: 0.0774s, Aggregation+Serialization time: 0.0706s 
Deserialize time: 0.0509s, Aggregation+Serialization time: 0.0789s 
Deserialize time: 0.2312s, Aggregation+Serialization time: 0.0735s 
Deserialize time: 0.0608s, Aggregation+Serialization time: 0.0725s 
Deserialize time: 0.0710s, Aggregation+Serialization time: 0.0753s 
Deserialize time: 0.0522s, Aggregation+Serialization time: 0.0809s 
Deserialize time: 0.0588s, Aggregation+Serialization time: 0.0798s 
Deserialize time: 0.0506s, Aggregation+Serialization time: 0.0793s 
Deserialize time: 0.0565s, Aggregation+Serialization time: 0.0708s 
Deserialize time: 0.0684s, Aggregation+Serialization time: 0.0802s 
Deserialize time: 0.0582s, Aggregation+Serialization time: 0.0754s 
Deserialize time: 0.0622s, Aggregation+Serialization time: 0.0853s 
Deserialize time: 0.0548s, Aggregation+Serialization time: 0.0754s 
Deserialize time: 0.0556s, Aggregation+Serialization time: 0.0750s 
Deserialize time: 0.0511s, Aggregation+Serialization time: 0.0783s 
Deserialize time: 0.0566s, Aggregation+Serialization time: 0.0750s 
Deserialize time: 0.0627s, Aggregation+Serialization time: 0.0774s 
Deserialize time: 0.0514s, Aggregation+Serialization time: 0.0774s 
Deserialize time: 0.0545s, Aggregation+Serialization time: 0.0761s 
Deserialize time: 0.0555s, Aggregation+Serialization time: 0.0773s 
Deserialize time: 0.0544s, Aggregation+Serialization time: 0.0713s 
Deserialize time: 0.0515s, Aggregation+Serialization time: 0.0763s 
Deserialize time: 0.0655s, Aggregation+Serialization time: 0.0725s 
Deserialize time: 0.1183s, Aggregation+Serialization time: 0.0721s 
Deserialize time: 0.0513s, Aggregation+Serialization time: 0.0743s 
Deserialize time: 0.0572s, Aggregation+Serialization time: 0.0714s 
Deserialize time: 0.0533s, Aggregation+Serialization time: 0.0713s 
Deserialize time: 0.0505s, Aggregation+Serialization time: 0.0705s 
Deserialize time: 0.0525s, Aggregation+Serialization time: 0.0725s 
Deserialize time: 0.0503s, Aggregation+Serialization time: 0.0705s 
Deserialize time: 0.0530s, Aggregation+Serialization time: 0.0712s 
Deserialize time: 0.0678s, Aggregation+Serialization time: 0.0717s 
Deserialize time: 0.0584s, Aggregation+Serialization time: 0.0762s 
Deserialize time: 0.0584s, Aggregation+Serialization time: 0.0761s 
Deserialize time: 0.0691s, Aggregation+Serialization time: 0.0823s 
Deserialize time: 0.0570s, Aggregation+Serialization time: 0.0737s 
Deserialize time: 0.0551s, Aggregation+Serialization time: 0.0860s 
Deserialize time: 0.0548s, Aggregation+Serialization time: 0.0712s 
Deserialize time: 0.0511s, Aggregation+Serialization time: 0.0716s 
Deserialize time: 0.0535s, Aggregation+Serialization time: 0.0728s 
Deserialize time: 0.0520s, Aggregation+Serialization time: 0.0828s 
Deserialize time: 0.0567s, Aggregation+Serialization time: 0.0721s 
Deserialize time: 0.0526s, Aggregation+Serialization time: 0.0735s 
Deserialize time: 0.0537s, Aggregation+Serialization time: 0.0723s 
Deserialize time: 0.0546s, Aggregation+Serialization time: 0.0717s 
Deserialize time: 0.0515s, Aggregation+Serialization time: 0.0780s 
Deserialize time: 0.0505s, Aggregation+Serialization time: 0.1008s 
Deserialize time: 0.0572s, Aggregation+Serialization time: 0.0766s 
Deserialize time: 0.0714s, Aggregation+Serialization time: 0.0816s 
Deserialize time: 0.0543s, Aggregation+Serialization time: 0.0750s 
Deserialize time: 0.0540s, Aggregation+Serialization time: 0.0813s 
Deserialize time: 0.0602s, Aggregation+Serialization time: 0.0760s 
Deserialize time: 0.0544s, Aggregation+Serialization time: 0.0725s 
Deserialize time: 0.0558s, Aggregation+Serialization time: 0.0804s 
Deserialize time: 0.0567s, Aggregation+Serialization time: 0.0840s 
Deserialize time: 0.0541s, Aggregation+Serialization time: 0.0858s 
Deserialize time: 0.0535s, Aggregation+Serialization time: 0.0716s 
Deserialize time: 0.0669s, Aggregation+Serialization time: 0.0904s 
Deserialize time: 0.0529s, Aggregation+Serialization time: 0.0734s 
Deserialize time: 0.0532s, Aggregation+Serialization time: 0.0764s 
Deserialize time: 0.0701s, Aggregation+Serialization time: 0.0736s 
Deserialize time: 0.0520s, Aggregation+Serialization time: 0.0797s 
Deserialize time: 0.0572s, Aggregation+Serialization time: 0.0740s 
Deserialize time: 0.0668s, Aggregation+Serialization time: 0.0789s 
Deserialize time: 0.0573s, Aggregation+Serialization time: 0.0797s 
Deserialize time: 0.0523s, Aggregation+Serialization time: 0.0716s 
Deserialize time: 0.0546s, Aggregation+Serialization time: 0.0824s 
Deserialize time: 0.0515s, Aggregation+Serialization time: 0.0942s 
Deserialize time: 0.0846s, Aggregation+Serialization time: 0.0767s 
Deserialize time: 0.0535s, Aggregation+Serialization time: 0.0767s 
Deserialize time: 0.0537s, Aggregation+Serialization time: 0.0726s 
Deserialize time: 0.0531s, Aggregation+Serialization time: 0.0732s 
Deserialize time: 0.0682s, Aggregation+Serialization time: 0.0738s 
Deserialize time: 0.0563s, Aggregation+Serialization time: 0.0729s 
Deserialize time: 0.0564s, Aggregation+Serialization time: 0.0735s 
Deserialize time: 0.0529s, Aggregation+Serialization time: 0.0719s 
