Round: 1, Train time: 6.9652s, Encrypt+Serialize time: 0.3707s, Decrypt+Deserialize time: 0.1303s
Round: 2, Train time: 9.8182s, Encrypt+Serialize time: 0.4994s, Decrypt+Deserialize time: 0.1230s
Round: 3, Train time: 13.7792s, Encrypt+Serialize time: 0.5278s, Decrypt+Deserialize time: 0.1311s
Round: 4, Train time: 16.8031s, Encrypt+Serialize time: 0.5408s, Decrypt+Deserialize time: 0.1471s
Round: 5, Train time: 14.4790s, Encrypt+Serialize time: 0.5090s, Decrypt+Deserialize time: 0.1295s
Round: 6, Train time: 19.4373s, Encrypt+Serialize time: 0.5652s, Decrypt+Deserialize time: 0.1447s
Round: 7, Train time: 20.1192s, Encrypt+Serialize time: 0.5303s, Decrypt+Deserialize time: 0.1577s
Round: 8, Train time: 23.6975s, Encrypt+Serialize time: 0.5672s, Decrypt+Deserialize time: 0.1402s
Round: 9, Train time: 13.2025s, Encrypt+Serialize time: 0.5209s, Decrypt+Deserialize time: 0.1312s
Round: 10, Train time: 23.9554s, Encrypt+Serialize time: 0.5538s, Decrypt+Deserialize time: 0.1635s
Round: 11, Train time: 22.1036s, Encrypt+Serialize time: 0.5033s, Decrypt+Deserialize time: 0.1261s
Round: 12, Train time: 22.5121s, Encrypt+Serialize time: 0.5487s, Decrypt+Deserialize time: 0.1394s
Round: 13, Train time: 26.3375s, Encrypt+Serialize time: 0.5077s, Decrypt+Deserialize time: 0.1260s
Round: 14, Train time: 11.5035s, Encrypt+Serialize time: 0.5373s, Decrypt+Deserialize time: 0.1283s
Round: 15, Train time: 22.0707s, Encrypt+Serialize time: 0.5532s, Decrypt+Deserialize time: 0.1564s
Round: 16, Train time: 13.5256s, Encrypt+Serialize time: 0.5269s, Decrypt+Deserialize time: 0.1520s
Round: 17, Train time: 27.6783s, Encrypt+Serialize time: 0.5465s, Decrypt+Deserialize time: 0.1626s
Round: 18, Train time: 29.0370s, Encrypt+Serialize time: 0.5684s, Decrypt+Deserialize time: 0.1538s
Round: 19, Train time: 14.8288s, Encrypt+Serialize time: 0.5229s, Decrypt+Deserialize time: 0.1324s
Round: 20, Train time: 23.0145s, Encrypt+Serialize time: 0.5696s, Decrypt+Deserialize time: 0.1330s
Round: 21, Train time: 16.4749s, Encrypt+Serialize time: 0.5428s, Decrypt+Deserialize time: 0.1297s
Round: 22, Train time: 16.5033s, Encrypt+Serialize time: 0.5054s, Decrypt+Deserialize time: 0.1336s
