Round: 1, Train time: 19.7876s, Encrypt+Serialize time: 0.5172s, Decrypt+Deserialize time: 0.1301s
Round: 2, Train time: 27.8117s, Encrypt+Serialize time: 0.5445s, Decrypt+Deserialize time: 0.1369s
Round: 3, Train time: 41.6204s, Encrypt+Serialize time: 0.5374s, Decrypt+Deserialize time: 0.1525s
Round: 4, Train time: 41.0728s, Encrypt+Serialize time: 0.5693s, Decrypt+Deserialize time: 0.1342s
Round: 5, Train time: 15.2312s, Encrypt+Serialize time: 0.4858s, Decrypt+Deserialize time: 0.1241s
Round: 6, Train time: 24.4638s, Encrypt+Serialize time: 0.5643s, Decrypt+Deserialize time: 0.1384s
Round: 7, Train time: 34.1674s, Encrypt+Serialize time: 0.5438s, Decrypt+Deserialize time: 0.1466s
Round: 8, Train time: 33.4315s, Encrypt+Serialize time: 0.5243s, Decrypt+Deserialize time: 0.1427s
Round: 9, Train time: 32.8774s, Encrypt+Serialize time: 0.5064s, Decrypt+Deserialize time: 0.1833s
Round: 10, Train time: 17.7507s, Encrypt+Serialize time: 0.5239s, Decrypt+Deserialize time: 0.1234s
Round: 11, Train time: 37.2748s, Encrypt+Serialize time: 0.6127s, Decrypt+Deserialize time: 0.1493s
Round: 12, Train time: 22.3635s, Encrypt+Serialize time: 0.6054s, Decrypt+Deserialize time: 0.1286s
Round: 13, Train time: 48.3347s, Encrypt+Serialize time: 0.5456s, Decrypt+Deserialize time: 0.1407s
Round: 14, Train time: 38.0355s, Encrypt+Serialize time: 0.4781s, Decrypt+Deserialize time: 0.1213s
Round: 15, Train time: 36.1796s, Encrypt+Serialize time: 0.5844s, Decrypt+Deserialize time: 0.1485s
Round: 16, Train time: 19.6662s, Encrypt+Serialize time: 0.5737s, Decrypt+Deserialize time: 0.1288s
Round: 17, Train time: 31.7027s, Encrypt+Serialize time: 0.5289s, Decrypt+Deserialize time: 0.1388s
Round: 18, Train time: 31.1872s, Encrypt+Serialize time: 0.5552s, Decrypt+Deserialize time: 0.1387s
Round: 19, Train time: 35.2077s, Encrypt+Serialize time: 0.5446s, Decrypt+Deserialize time: 0.1379s
Round: 20, Train time: 36.9312s, Encrypt+Serialize time: 0.4861s, Decrypt+Deserialize time: 0.1199s
Round: 21, Train time: 37.2980s, Encrypt+Serialize time: 0.5588s, Decrypt+Deserialize time: 0.2032s
Round: 22, Train time: 29.2194s, Encrypt+Serialize time: 0.5599s, Decrypt+Deserialize time: 0.1581s
Round: 23, Train time: 26.8192s, Encrypt+Serialize time: 0.5468s, Decrypt+Deserialize time: 0.1961s
Round: 24, Train time: 45.2224s, Encrypt+Serialize time: 0.5422s, Decrypt+Deserialize time: 0.1340s
Round: 25, Train time: 31.5020s, Encrypt+Serialize time: 0.5540s, Decrypt+Deserialize time: 0.1387s
Round: 26, Train time: 35.1470s, Encrypt+Serialize time: 0.6050s, Decrypt+Deserialize time: 0.1420s
Round: 27, Train time: 41.2961s, Encrypt+Serialize time: 0.5210s, Decrypt+Deserialize time: 0.1655s
Round: 28, Train time: 33.6139s, Encrypt+Serialize time: 0.5315s, Decrypt+Deserialize time: 0.1456s
Round: 29, Train time: 25.7324s, Encrypt+Serialize time: 0.5083s, Decrypt+Deserialize time: 0.1343s
Round: 30, Train time: 45.5628s, Encrypt+Serialize time: 0.5395s, Decrypt+Deserialize time: 0.1325s
Round: 31, Train time: 30.4686s, Encrypt+Serialize time: 0.5221s, Decrypt+Deserialize time: 0.1287s
Round: 32, Train time: 39.6299s, Encrypt+Serialize time: 0.5376s, Decrypt+Deserialize time: 0.1441s
Round: 33, Train time: 46.9176s, Encrypt+Serialize time: 0.5375s, Decrypt+Deserialize time: 0.1454s
Round: 34, Train time: 39.6620s, Encrypt+Serialize time: 0.6237s, Decrypt+Deserialize time: 0.2720s
Round: 35, Train time: 34.5177s, Encrypt+Serialize time: 0.5520s, Decrypt+Deserialize time: 0.1406s
Round: 36, Train time: 31.6029s, Encrypt+Serialize time: 0.5221s, Decrypt+Deserialize time: 0.1339s
Round: 37, Train time: 48.4124s, Encrypt+Serialize time: 0.5216s, Decrypt+Deserialize time: 0.1359s
Round: 38, Train time: 47.0625s, Encrypt+Serialize time: 0.5260s, Decrypt+Deserialize time: 0.1295s
Round: 39, Train time: 32.0063s, Encrypt+Serialize time: 0.5890s, Decrypt+Deserialize time: 0.1388s
