Round: 1, Train time: 15.8173s, Encrypt+Serialize time: 0.5044s, Decrypt+Deserialize time: 0.1254s
Round: 2, Train time: 20.2080s, Encrypt+Serialize time: 0.5820s, Decrypt+Deserialize time: 0.1271s
Round: 3, Train time: 34.7161s, Encrypt+Serialize time: 0.5548s, Decrypt+Deserialize time: 0.1532s
Round: 4, Train time: 36.7562s, Encrypt+Serialize time: 0.5891s, Decrypt+Deserialize time: 0.1416s
Round: 5, Train time: 19.1100s, Encrypt+Serialize time: 0.5418s, Decrypt+Deserialize time: 0.1274s
Round: 6, Train time: 30.6350s, Encrypt+Serialize time: 0.5165s, Decrypt+Deserialize time: 0.1292s
Round: 7, Train time: 39.0825s, Encrypt+Serialize time: 0.5537s, Decrypt+Deserialize time: 0.1458s
Round: 8, Train time: 28.6213s, Encrypt+Serialize time: 0.5280s, Decrypt+Deserialize time: 0.1310s
Round: 9, Train time: 43.4755s, Encrypt+Serialize time: 0.5575s, Decrypt+Deserialize time: 0.1525s
Round: 10, Train time: 30.4105s, Encrypt+Serialize time: 0.5444s, Decrypt+Deserialize time: 0.1356s
Round: 11, Train time: 26.0251s, Encrypt+Serialize time: 0.5126s, Decrypt+Deserialize time: 0.1343s
Round: 12, Train time: 23.1447s, Encrypt+Serialize time: 0.5262s, Decrypt+Deserialize time: 0.1307s
Round: 13, Train time: 43.6721s, Encrypt+Serialize time: 0.5178s, Decrypt+Deserialize time: 0.1330s
Round: 14, Train time: 41.5821s, Encrypt+Serialize time: 0.5491s, Decrypt+Deserialize time: 0.1523s
Round: 15, Train time: 33.3919s, Encrypt+Serialize time: 0.5333s, Decrypt+Deserialize time: 0.1351s
Round: 16, Train time: 20.6660s, Encrypt+Serialize time: 0.5126s, Decrypt+Deserialize time: 0.1277s
Round: 17, Train time: 29.3495s, Encrypt+Serialize time: 0.5442s, Decrypt+Deserialize time: 0.1428s
Round: 18, Train time: 32.4739s, Encrypt+Serialize time: 0.5116s, Decrypt+Deserialize time: 0.1432s
Round: 19, Train time: 27.0108s, Encrypt+Serialize time: 0.5071s, Decrypt+Deserialize time: 0.1413s
Round: 20, Train time: 37.8091s, Encrypt+Serialize time: 0.5343s, Decrypt+Deserialize time: 0.1394s
Round: 21, Train time: 43.1347s, Encrypt+Serialize time: 0.5296s, Decrypt+Deserialize time: 0.1292s
Round: 22, Train time: 30.2628s, Encrypt+Serialize time: 0.5193s, Decrypt+Deserialize time: 0.1277s
Round: 23, Train time: 23.9580s, Encrypt+Serialize time: 0.5397s, Decrypt+Deserialize time: 0.1476s
Round: 24, Train time: 41.1474s, Encrypt+Serialize time: 0.5180s, Decrypt+Deserialize time: 0.1339s
Round: 25, Train time: 30.4307s, Encrypt+Serialize time: 0.5316s, Decrypt+Deserialize time: 0.1385s
Round: 26, Train time: 17.5028s, Encrypt+Serialize time: 0.5559s, Decrypt+Deserialize time: 0.1271s
Round: 27, Train time: 34.9175s, Encrypt+Serialize time: 0.5744s, Decrypt+Deserialize time: 0.1490s
Round: 28, Train time: 37.5517s, Encrypt+Serialize time: 0.5153s, Decrypt+Deserialize time: 0.1388s
Round: 29, Train time: 31.4107s, Encrypt+Serialize time: 0.5181s, Decrypt+Deserialize time: 0.1321s
Round: 30, Train time: 27.7352s, Encrypt+Serialize time: 0.5352s, Decrypt+Deserialize time: 0.1266s
Round: 31, Train time: 42.0346s, Encrypt+Serialize time: 0.5660s, Decrypt+Deserialize time: 0.1403s
Round: 32, Train time: 28.6768s, Encrypt+Serialize time: 0.5615s, Decrypt+Deserialize time: 0.1419s
Round: 33, Train time: 32.1849s, Encrypt+Serialize time: 0.5312s, Decrypt+Deserialize time: 0.1278s
Round: 34, Train time: 38.4768s, Encrypt+Serialize time: 0.5201s, Decrypt+Deserialize time: 0.1365s
Round: 35, Train time: 43.4238s, Encrypt+Serialize time: 0.5470s, Decrypt+Deserialize time: 0.1420s
Round: 36, Train time: 39.1598s, Encrypt+Serialize time: 0.5219s, Decrypt+Deserialize time: 0.1388s
Round: 37, Train time: 40.4504s, Encrypt+Serialize time: 0.5243s, Decrypt+Deserialize time: 0.1400s
Round: 38, Train time: 37.7844s, Encrypt+Serialize time: 0.5415s, Decrypt+Deserialize time: 0.1463s
Round: 39, Train time: 39.6569s, Encrypt+Serialize time: 0.5453s, Decrypt+Deserialize time: 0.1302s
Round: 40, Train time: 24.3289s, Encrypt+Serialize time: 0.5026s, Decrypt+Deserialize time: 0.1192s
Round: 41, Train time: 33.6104s, Encrypt+Serialize time: 0.5207s, Decrypt+Deserialize time: 0.1406s
Round: 42, Train time: 39.1094s, Encrypt+Serialize time: 0.5979s, Decrypt+Deserialize time: 0.1889s
Round: 43, Train time: 24.5551s, Encrypt+Serialize time: 0.5660s, Decrypt+Deserialize time: 0.1328s
Round: 44, Train time: 31.1018s, Encrypt+Serialize time: 0.5522s, Decrypt+Deserialize time: 0.1435s
Round: 45, Train time: 37.2513s, Encrypt+Serialize time: 0.5531s, Decrypt+Deserialize time: 0.1416s
Round: 46, Train time: 44.2865s, Encrypt+Serialize time: 0.5311s, Decrypt+Deserialize time: 0.1401s
Round: 47, Train time: 50.1527s, Encrypt+Serialize time: 0.6029s, Decrypt+Deserialize time: 0.1320s
Round: 48, Train time: 32.4067s, Encrypt+Serialize time: 0.5371s, Decrypt+Deserialize time: 0.1369s
Round: 49, Train time: 33.4844s, Encrypt+Serialize time: 0.5627s, Decrypt+Deserialize time: 0.1420s
Round: 50, Train time: 19.5040s, Encrypt+Serialize time: 0.5326s, Decrypt+Deserialize time: 0.2312s
Round: 51, Train time: 32.8851s, Encrypt+Serialize time: 0.5643s, Decrypt+Deserialize time: 0.1460s
Round: 52, Train time: 32.6644s, Encrypt+Serialize time: 0.5310s, Decrypt+Deserialize time: 0.1256s
Round: 53, Train time: 35.4130s, Encrypt+Serialize time: 0.5166s, Decrypt+Deserialize time: 0.1273s
Round: 54, Train time: 29.6745s, Encrypt+Serialize time: 0.5661s, Decrypt+Deserialize time: 0.1438s
Round: 55, Train time: 16.4563s, Encrypt+Serialize time: 0.5201s, Decrypt+Deserialize time: 0.1392s
Round: 56, Train time: 46.3424s, Encrypt+Serialize time: 0.5468s, Decrypt+Deserialize time: 0.1305s
Round: 57, Train time: 18.6239s, Encrypt+Serialize time: 0.5292s, Decrypt+Deserialize time: 0.1332s
Round: 58, Train time: 38.7640s, Encrypt+Serialize time: 0.5938s, Decrypt+Deserialize time: 0.1433s
Round: 59, Train time: 25.2004s, Encrypt+Serialize time: 0.5118s, Decrypt+Deserialize time: 0.1249s
Round: 60, Train time: 50.1862s, Encrypt+Serialize time: 0.5293s, Decrypt+Deserialize time: 0.1397s
Round: 61, Train time: 39.2550s, Encrypt+Serialize time: 0.6456s, Decrypt+Deserialize time: 0.1503s
Round: 62, Train time: 19.7388s, Encrypt+Serialize time: 0.5191s, Decrypt+Deserialize time: 0.1337s
Round: 63, Train time: 37.2743s, Encrypt+Serialize time: 0.6194s, Decrypt+Deserialize time: 0.1505s
Round: 64, Train time: 27.4368s, Encrypt+Serialize time: 0.5725s, Decrypt+Deserialize time: 0.1532s
Round: 65, Train time: 38.1073s, Encrypt+Serialize time: 0.5949s, Decrypt+Deserialize time: 0.1605s
Round: 66, Train time: 39.5469s, Encrypt+Serialize time: 0.5689s, Decrypt+Deserialize time: 0.1541s
Round: 67, Train time: 30.5096s, Encrypt+Serialize time: 0.5469s, Decrypt+Deserialize time: 0.1322s
Round: 68, Train time: 43.0479s, Encrypt+Serialize time: 0.6543s, Decrypt+Deserialize time: 0.1662s
Round: 69, Train time: 30.0909s, Encrypt+Serialize time: 0.5466s, Decrypt+Deserialize time: 0.1309s
Round: 70, Train time: 48.8149s, Encrypt+Serialize time: 0.5925s, Decrypt+Deserialize time: 0.1489s
Round: 71, Train time: 23.0088s, Encrypt+Serialize time: 0.5688s, Decrypt+Deserialize time: 0.1831s
Round: 72, Train time: 43.7380s, Encrypt+Serialize time: 0.5593s, Decrypt+Deserialize time: 0.1594s
Round: 73, Train time: 33.3725s, Encrypt+Serialize time: 0.5389s, Decrypt+Deserialize time: 0.1443s
Round: 74, Train time: 36.5798s, Encrypt+Serialize time: 0.5951s, Decrypt+Deserialize time: 0.1664s
Round: 75, Train time: 21.7980s, Encrypt+Serialize time: 0.5659s, Decrypt+Deserialize time: 0.1444s
Round: 76, Train time: 27.5700s, Encrypt+Serialize time: 0.5501s, Decrypt+Deserialize time: 0.1338s
Round: 77, Train time: 33.9437s, Encrypt+Serialize time: 0.5936s, Decrypt+Deserialize time: 0.1715s
Round: 78, Train time: 20.0684s, Encrypt+Serialize time: 0.5691s, Decrypt+Deserialize time: 0.1415s
Round: 79, Train time: 25.6092s, Encrypt+Serialize time: 0.6040s, Decrypt+Deserialize time: 0.1323s
Round: 80, Train time: 21.4557s, Encrypt+Serialize time: 0.5613s, Decrypt+Deserialize time: 0.1418s
Round: 81, Train time: 24.3618s, Encrypt+Serialize time: 0.5483s, Decrypt+Deserialize time: 0.2082s
Round: 82, Train time: 29.6378s, Encrypt+Serialize time: 0.5522s, Decrypt+Deserialize time: 0.1392s
Round: 83, Train time: 29.1650s, Encrypt+Serialize time: 0.5270s, Decrypt+Deserialize time: 0.1363s
Round: 84, Train time: 38.4938s, Encrypt+Serialize time: 0.6448s, Decrypt+Deserialize time: 0.1986s
Round: 85, Train time: 27.7425s, Encrypt+Serialize time: 0.5815s, Decrypt+Deserialize time: 0.1628s
Round: 86, Train time: 18.8391s, Encrypt+Serialize time: 0.5013s, Decrypt+Deserialize time: 0.1230s
Round: 87, Train time: 36.6186s, Encrypt+Serialize time: 0.5497s, Decrypt+Deserialize time: 0.1347s
Round: 88, Train time: 27.5388s, Encrypt+Serialize time: 0.5492s, Decrypt+Deserialize time: 0.1526s
Round: 89, Train time: 37.3453s, Encrypt+Serialize time: 0.6157s, Decrypt+Deserialize time: 0.1494s
Round: 90, Train time: 40.6602s, Encrypt+Serialize time: 0.6016s, Decrypt+Deserialize time: 0.1564s
Round: 91, Train time: 27.2302s, Encrypt+Serialize time: 0.5725s, Decrypt+Deserialize time: 0.1419s
Round: 92, Train time: 32.7502s, Encrypt+Serialize time: 0.6559s, Decrypt+Deserialize time: 0.1615s
Round: 93, Train time: 26.9660s, Encrypt+Serialize time: 0.5829s, Decrypt+Deserialize time: 0.1360s
Round: 94, Train time: 48.9898s, Encrypt+Serialize time: 0.5639s, Decrypt+Deserialize time: 0.1236s
Round: 95, Train time: 46.7658s, Encrypt+Serialize time: 0.5065s, Decrypt+Deserialize time: 0.1307s
Round: 96, Train time: 52.9098s, Encrypt+Serialize time: 0.5228s, Decrypt+Deserialize time: 0.1385s
Round: 97, Train time: 43.4285s, Encrypt+Serialize time: 0.5487s, Decrypt+Deserialize time: 0.1372s
Round: 98, Train time: 27.6779s, Encrypt+Serialize time: 0.5183s, Decrypt+Deserialize time: 0.1237s
Round: 99, Train time: 41.4794s, Encrypt+Serialize time: 0.5066s, Decrypt+Deserialize time: 0.1290s
Round: 100, Train time: 29.3164s, Encrypt+Serialize time: 0.5035s, Decrypt+Deserialize time: 0.1330s
Round: 101, Train time: 41.8647s, Encrypt+Serialize time: 0.5017s, Decrypt+Deserialize time: 0.1280s
Round: 102, Train time: 49.2422s, Encrypt+Serialize time: 0.5486s, Decrypt+Deserialize time: 0.1361s
Round: 103, Train time: 27.3254s, Encrypt+Serialize time: 0.4989s, Decrypt+Deserialize time: 0.1254s
Round: 104, Train time: 45.3277s, Encrypt+Serialize time: 0.5014s, Decrypt+Deserialize time: 0.1271s
Round: 105, Train time: 31.5611s, Encrypt+Serialize time: 0.5391s, Decrypt+Deserialize time: 0.1405s
Round: 106, Train time: 38.3735s, Encrypt+Serialize time: 0.5820s, Decrypt+Deserialize time: 0.1283s
Round: 107, Train time: 29.9288s, Encrypt+Serialize time: 0.5191s, Decrypt+Deserialize time: 0.1350s
Round: 108, Train time: 28.1363s, Encrypt+Serialize time: 0.5363s, Decrypt+Deserialize time: 0.1351s
Round: 109, Train time: 25.1806s, Encrypt+Serialize time: 0.5421s, Decrypt+Deserialize time: 0.1378s
Round: 110, Train time: 40.8704s, Encrypt+Serialize time: 0.5541s, Decrypt+Deserialize time: 0.1297s
Round: 111, Train time: 41.8771s, Encrypt+Serialize time: 0.5648s, Decrypt+Deserialize time: 0.1375s
Round: 112, Train time: 25.3038s, Encrypt+Serialize time: 0.5120s, Decrypt+Deserialize time: 0.1287s
Round: 113, Train time: 36.4074s, Encrypt+Serialize time: 0.5555s, Decrypt+Deserialize time: 0.1397s
Round: 114, Train time: 27.2927s, Encrypt+Serialize time: 0.5012s, Decrypt+Deserialize time: 0.1251s
Round: 115, Train time: 32.9419s, Encrypt+Serialize time: 0.5870s, Decrypt+Deserialize time: 0.1352s
Round: 116, Train time: 30.4165s, Encrypt+Serialize time: 0.5384s, Decrypt+Deserialize time: 0.1336s
Round: 117, Train time: 32.5763s, Encrypt+Serialize time: 0.6063s, Decrypt+Deserialize time: 0.1658s
Round: 118, Train time: 32.0829s, Encrypt+Serialize time: 0.5144s, Decrypt+Deserialize time: 0.1335s
Round: 119, Train time: 34.9577s, Encrypt+Serialize time: 0.6137s, Decrypt+Deserialize time: 0.1294s
Round: 120, Train time: 33.7973s, Encrypt+Serialize time: 0.5254s, Decrypt+Deserialize time: 0.1762s
Round: 121, Train time: 20.4816s, Encrypt+Serialize time: 0.5642s, Decrypt+Deserialize time: 0.1306s
Round: 122, Train time: 51.0026s, Encrypt+Serialize time: 0.5100s, Decrypt+Deserialize time: 0.1251s
Round: 123, Train time: 13.2129s, Encrypt+Serialize time: 0.5064s, Decrypt+Deserialize time: 0.1610s
Round: 124, Train time: 19.0139s, Encrypt+Serialize time: 0.5449s, Decrypt+Deserialize time: 0.1293s
Round: 125, Train time: 51.7495s, Encrypt+Serialize time: 0.5385s, Decrypt+Deserialize time: 0.1508s
Round: 126, Train time: 40.6193s, Encrypt+Serialize time: 0.5663s, Decrypt+Deserialize time: 0.1299s
Round: 127, Train time: 38.1621s, Encrypt+Serialize time: 0.5198s, Decrypt+Deserialize time: 0.1391s
Round: 128, Train time: 37.3785s, Encrypt+Serialize time: 0.5141s, Decrypt+Deserialize time: 0.1317s
Round: 129, Train time: 49.7115s, Encrypt+Serialize time: 0.5392s, Decrypt+Deserialize time: 0.1265s
Round: 130, Train time: 38.8586s, Encrypt+Serialize time: 0.5697s, Decrypt+Deserialize time: 0.1436s
Round: 131, Train time: 26.8197s, Encrypt+Serialize time: 0.5131s, Decrypt+Deserialize time: 0.1270s
Round: 132, Train time: 32.7269s, Encrypt+Serialize time: 0.5561s, Decrypt+Deserialize time: 0.1311s
Round: 133, Train time: 35.1684s, Encrypt+Serialize time: 0.5956s, Decrypt+Deserialize time: 0.1481s
Round: 134, Train time: 39.9434s, Encrypt+Serialize time: 0.5256s, Decrypt+Deserialize time: 0.1374s
Round: 135, Train time: 30.0327s, Encrypt+Serialize time: 0.5557s, Decrypt+Deserialize time: 0.1505s
Round: 136, Train time: 25.7241s, Encrypt+Serialize time: 0.5432s, Decrypt+Deserialize time: 0.1404s
Round: 137, Train time: 18.9899s, Encrypt+Serialize time: 0.5490s, Decrypt+Deserialize time: 0.1668s
Round: 138, Train time: 33.3356s, Encrypt+Serialize time: 0.5659s, Decrypt+Deserialize time: 0.1393s
Round: 139, Train time: 31.1830s, Encrypt+Serialize time: 0.5837s, Decrypt+Deserialize time: 0.1372s
Round: 140, Train time: 32.8860s, Encrypt+Serialize time: 0.5123s, Decrypt+Deserialize time: 0.1399s
Round: 141, Train time: 34.8562s, Encrypt+Serialize time: 0.5135s, Decrypt+Deserialize time: 0.2150s
Round: 142, Train time: 30.2606s, Encrypt+Serialize time: 0.5039s, Decrypt+Deserialize time: 0.1238s
Round: 143, Train time: 36.7515s, Encrypt+Serialize time: 0.5934s, Decrypt+Deserialize time: 0.1481s
Round: 144, Train time: 32.2808s, Encrypt+Serialize time: 0.5029s, Decrypt+Deserialize time: 0.1268s
Round: 145, Train time: 35.4150s, Encrypt+Serialize time: 0.5219s, Decrypt+Deserialize time: 0.1342s
Round: 146, Train time: 23.7405s, Encrypt+Serialize time: 0.5125s, Decrypt+Deserialize time: 0.1254s
Round: 147, Train time: 34.4730s, Encrypt+Serialize time: 0.5695s, Decrypt+Deserialize time: 0.1301s
Round: 148, Train time: 36.0959s, Encrypt+Serialize time: 0.5090s, Decrypt+Deserialize time: 0.1292s
Round: 149, Train time: 34.1984s, Encrypt+Serialize time: 0.5565s, Decrypt+Deserialize time: 0.1511s
Round: 150, Train time: 38.6600s, Encrypt+Serialize time: 0.5110s, Decrypt+Deserialize time: 0.1262s
Round: 151, Train time: 21.5111s, Encrypt+Serialize time: 0.5212s, Decrypt+Deserialize time: 0.1278s
Round: 152, Train time: 34.4284s, Encrypt+Serialize time: 0.5745s, Decrypt+Deserialize time: 0.1365s
Round: 153, Train time: 20.3008s, Encrypt+Serialize time: 0.5806s, Decrypt+Deserialize time: 0.1410s
Round: 154, Train time: 35.0236s, Encrypt+Serialize time: 0.5251s, Decrypt+Deserialize time: 0.1391s
Round: 155, Train time: 32.7051s, Encrypt+Serialize time: 0.5388s, Decrypt+Deserialize time: 0.1316s
Round: 156, Train time: 39.1003s, Encrypt+Serialize time: 0.6028s, Decrypt+Deserialize time: 0.1382s
Round: 157, Train time: 29.3655s, Encrypt+Serialize time: 0.5738s, Decrypt+Deserialize time: 0.1774s
Round: 158, Train time: 33.2367s, Encrypt+Serialize time: 0.5215s, Decrypt+Deserialize time: 0.1389s
Round: 159, Train time: 31.0050s, Encrypt+Serialize time: 0.5699s, Decrypt+Deserialize time: 0.1473s
Round: 160, Train time: 32.4838s, Encrypt+Serialize time: 0.5537s, Decrypt+Deserialize time: 0.1475s
Round: 161, Train time: 29.7216s, Encrypt+Serialize time: 0.5257s, Decrypt+Deserialize time: 0.1338s
Round: 162, Train time: 18.6805s, Encrypt+Serialize time: 0.4912s, Decrypt+Deserialize time: 0.1192s
